Pro_code,ImportanceScore
GDF15,0.0422323232323231
EDA2R,0.0162020202020201
REN,0.0264242424242423
NTproBNP,0.0328888888888888
HAVCR1,0.024090909090909
TNFRSF10B,0.0034444444444444
IGFBP4,0.0025656565656565
NEFL,0.029050505050505
LRRN1,0.0173434343434343
BCAN,0.0215151515151514
LTBP2,0.0198080808080807
DCBLD2,0.0169494949494949
PLAUR,0.0067373737373737
EGFR,0.0133838383838383
CDCP1,0.0109999999999999
CHAD,0.0176060606060605
FGFBP1,0.0125252525252525
ADM,0.0036060606060605
LGALS4,0.005070707070707
WFDC2,0.0025959595959595
CHI3L1,0.009111111111111
AMBP,0.0078383838383838
HYOU1,0.0134646464646464
GAST,0.011040404040404
CDH3,0.0112121212121211
ELN,0.0107272727272727
IL6,0.0078181818181818
FASLG,0.0105555555555555
NPPB,0.0077272727272727
MAMDC2,0.0101616161616161
MMP12,0.0059292929292929
ACE2,0.0087070707070706
ITGA11,0.006070707070707
CLEC3B,0.0066060606060605
MSTN,0.0076767676767676
DMP1,0.0079393939393939
RAB6A,0.0064040404040403
RET,0.0082424242424242
PTN,0.0073131313131313
HPGDS,0.0056969696969696
CANT1,0.0074141414141414
TNFRSF13B,0.0065050505050504
RGMB,0.0062828282828282
TNR,0.0069898989898989
MMP7,0.0055757575757575
UMOD,0.0018484848484848
PCSK9,0.0065151515151515
ITGAV,0.0035454545454545
ENPP5,0.0059191919191919
PLA2G7,0.0045353535353535
FCER2,0.0059797979797979
WFIKKN1,0.0052525252525252
PODXL2,0.0052929292929292
CD1C,0.0043030303030302
MMP9,0.0055858585858585
COL9A1,0.0053838383838383
SCG2,0.0033333333333333
CD5,0.0044747474747474
CD302,0.0021414141414141
NCS1,0.0046060606060605
GFAP,0.0043737373737373
VSIG2,0.0025656565656565
IL5RA,0.0042020202020201
PRSS8,0.0028686868686868
CILP,0.0038787878787878
ADAM22,0.0028989898989898
TFF1,0.0017676767676767
C7,0.0034747474747474
TFF2,0.0026767676767676
PDGFRA,0.0035454545454545
IGFBP6,0.003060606060606
PRSS2,0.004050505050505
GSN,0.0027575757575757
CD72,0.0029292929292929
CST6,0.0031414141414141
ADIPOQ,0.0033232323232323
TIMD4,0.0031818181818181
SMPD1,0.0028383838383838
INSL4,0.0009999999999999
KLK4,0.0023333333333333
NPPC,0.0027878787878787
ANGPT2,0.0013030303030303
DPP4,0.0016161616161616
CXCL17,0.0017171717171717
OMD,0.0022020202020201
IGDCC4,0.0021717171717171
PRND,0.0022626262626262
TNFRSF10A,0.0019292929292929
PPP1R14D,0.0009898989898989
ADGRG1,0.002050505050505
TNFSF10,0.0019696969696969
SORBS1,0.0021919191919191
CD300C,0.0022424242424242
TNFRSF12A,0.0004040404040404
VSIG4,0.0005959595959595
CD27,0.0011313131313131
EFNA4,0.0012525252525252
GFRA1,0.0008787878787878
CTSF,0.002060606060606
CXCL9,0.0016767676767676
STC1,0.0018787878787878
CD59,0.0018989898989898
FCRLB,0.0019393939393939
CNTN5,0.0016868686868686
CRH,0.0016060606060606
HSPB6,0.0015151515151515
IFNGR1,0.0015050505050505
TNFRSF4,0.0012121212121212
DKK4,0.0014949494949494
OMG,0.0017474747474747
FCRL2,0.0017272727272727
APOM,0.0014242424242424
SEMA3F,0.0017272727272727
LCN15,0.0017676767676767
NPL,0.0016060606060606
NPDC1,0.0014747474747474
ITGAM,0.0017575757575757
SELENOP,0.0016363636363636
IGFBPL1,0.0008585858585858
THBD,0.0014242424242424
CHGA,0.0013232323232323
ANXA10,0.0014949494949494
CD80,0.0011313131313131
THY1,0.0013838383838383
MVK,0.0008989898989898
LAMP3,0.0011919191919191
IGFBP3,0.0014040404040404
SPINK4,0.0008484848484848
ACE,0.0012222222222222
RTN4R,0.0014141414141414
SERPINA3,0.0012929292929292
CEACAM5,0.0013636363636363
NCAN,0.0011919191919191
ACTA2,0.001080808080808
CHCHD10,0.001050505050505
VWC2,0.0012929292929292
MYBPC1,0.0013737373737373
CCDC80,0.0011414141414141
FGF23,0.0011919191919191
CD34,0.0008989898989898
MEP1B,0.0012020202020202
ADAMTS8,0.0009797979797979
IL32,0.001090909090909
SYT1,0.0011818181818181
MYL3,0.0013636363636363
KIT,0.0009393939393939
AGRN,0.0011818181818181
SFRP1,0.001090909090909
PDZK1,0.0009191919191919
CSF1,0.0011515151515151
CRYBB2,0.0011919191919191
NOS3,0.001040404040404
CD99L2,0.0011717171717171
HSD17B14,0.0009696969696969
PKD1,0.0011515151515151
CALCB,0.0011212121212121
EPHB4,0.0009191919191919
TYRP1,0.0011717171717171
SEPTIN8,0.001070707070707
RNASET2,0.0008282828282828
CCL15,0.0009090909090909
MFAP4,0.0009494949494949
IL15,0.0008989898989898
KLRB1,0.0008888888888888
SLITRK6,0.0008181818181818
IL17C,0.0007979797979797
SORCS2,0.0006363636363636
RNASE1,0.0006767676767676
RELT,0.0008888888888888
HGF,0.0009393939393939
RETN,0.0009696969696969
LY9,0.0008787878787878
CD276,0.0007474747474747
BSG,0.0007979797979797
COL4A1,0.0007474747474747
RNASE6,0.0007171717171717
MIA,0.0006363636363636
CD55,0.0008181818181818
PON3,0.0008888888888888
CPM,0.0008787878787878
PRSS22,0.0009494949494949
CCN3,0.0007979797979797
FLT1,0.0007373737373737
CA4,0.0008787878787878
CD79B,0.0008181818181818
CST3,0.0008484848484848
DKK3,0.0008282828282828
EFNA1,0.0008282828282828
LRG1,0.0007777777777777
SERPINA5,0.0007878787878787
NRP1,0.0007777777777777
GALNT10,0.0007373737373737
INSL5,0.0006363636363636
LTBR,0.0007373737373737
CD160,0.0004848484848484
SERPINB8,0.0007373737373737
SMOC2,0.0007878787878787
IL10RB,0.0007474747474747
MMP1,0.0007272727272727
DSG2,0.0006969696969696
CD300E,0.0004242424242424
XPNPEP2,0.0008080808080808
SUSD2,0.0006868686868686
MARCO,0.0007777777777777
SDC1,0.0006868686868686
SCLY,0.0006666666666666
SCARB2,0.0007878787878787
ADGRG2,0.0007474747474747
NBL1,0.0006565656565656
SEZ6L,0.0006969696969696
CCL3,0.0007474747474747
ANGPTL4,0.0006565656565656
MSMB,0.0007070707070707
FAM3D,0.0007575757575757
AGR2,0.0005757575757575
EPHB6,0.0007676767676767
FGL1,0.0005353535353535
GAS6,0.0006767676767676
ADAM12,0.0006969696969696
GLO1,0.0005151515151515
CLEC4D,0.0006464646464646
TGFBR3,0.0006969696969696
SPINT1,0.0007171717171717
CRELD2,0.0007070707070707
SLC39A14,0.0007070707070707
FGF21,0.0006868686868686
GPR37,0.0005050505050505
SPON2,0.0003535353535353
MERTK,0.0007070707070707
CD38,0.0006969696969696
POF1B,0.0006868686868686
SFTPA2,0.0006565656565656
DCTPP1,0.0006868686868686
CCL25,0.0005050505050505
NHLRC3,0.0006262626262626
CD28,0.0005555555555555
PI3,0.0006464646464646
CTSD,0.0007171717171717
PTPRN2,0.0007373737373737
BCL2L15,0.0006262626262626
ICAM3,0.0006262626262626
DCN,0.0006565656565656
HYAL1,0.0005959595959595
MYLPF,0.0006363636363636
NFASC,0.0003939393939393
NT5C1A,0.0003939393939393
TNFSF12,0.0005656565656565
SEMA3G,0.0006969696969696
MSLN,0.0006161616161616
JAM2,0.0005959595959595
KIR2DL3,0.0006666666666666
ADGRE1,0.0005858585858585
MDK,0.0005858585858585
FAM3C,0.0004141414141414
PSG1,0.0006161616161616
NRP2,0.0006363636363636
OGFR,0.0006565656565656
PTX3,0.0006363636363636
CTSV,0.0006363636363636
EPS8L2,0.0006161616161616
HS6ST2,0.0006161616161616
PRL,0.0006363636363636
TINAGL1,0.0005757575757575
LILRB2,0.0007070707070707
PLA2G15,0.0005050505050505
RBP2,0.0005656565656565
SERPINF1,0.0005858585858585
MLN,0.0005757575757575
TNFRSF17,0.0006363636363636
REG3A,0.0004949494949494
NID1,0.0006161616161616
TNFSF13,0.0003737373737373
GGT1,0.0003535353535353
AREG,0.0004848484848484
NELL1,0.0004646464646464
CBLN4,0.0006161616161616
SPINK2,0.0005151515151515
LAG3,0.0003737373737373
GHR,0.0005959595959595
MATN2,0.0004848484848484
DPP7,0.0004646464646464
NOTCH3,0.0003838383838383
FABP3,0.0004343434343434
FAS,0.0005050505050505
EPHA2,0.0004545454545454
RBFOX3,0.0002525252525252
CAPG,0.0005252525252525
KRT18,0.0005454545454545
CD14,0.0005353535353535
CD93,0.0004646464646464
MFGE8,0.0005656565656565
ERMAP,0.0005555555555555
CEACAM16,0.0005454545454545
HSPG2,0.0004343434343434
CFC1,0.0005454545454545
IL2RA,0.0005151515151515
ANXA5,0.0004646464646464
CSRP3,0.0005252525252525
B3GNT7,0.0004343434343434
FAM20A,0.0004444444444444
DTX3,0.0005050505050505
CCL23,0.0005050505050505
IFI30,0.0004646464646464
CLMP,0.0002828282828282
