Pro_code,ImportanceScore
POMC,0.0516363636363636
CHRDL1,0.0378484848484848
VWC2,0.0421111111111111
KIRREL1,0.0451212121212121
REG3A,0.0378787878787878
CELA2A,0.0394545454545454
FCGR3B,0.045020202020202
FGL1,0.0346060606060606
TNFRSF1A,0.0313939393939393
LGALS3,0.0364747474747474
CKAP4,0.0329898989898989
DSG2,0.0398383838383838
GAS2,0.0415252525252525
CHGA,0.0263232323232323
KIF1C,0.0297676767676767
AMBP,0.0246262626262626
EFEMP1,0.0489292929292929
HLA-A,0.0388484848484848
CD79B,0.0289696969696969
IGFBP6,0.0356666666666666
GDF15,0.0338181818181818
TINAGL1,0.030070707070707
FOLR1,0.0316464646464646
GAST,0.0264646464646464
GFRA1,0.0244444444444444
CLMP,0.0221717171717171
NECTIN2,0.0247272727272727
NPDC1,0.0208080808080808
TGFBR3,0.0193737373737373
CD55,0.0174444444444444
