Pro_code,ImportanceScore
EDA2R,0.0870793865190412
GDF15,0.0667183425998435
NEFL,0.0434117530851775
PAEP,0.0377129828532741
PODXL2,0.0373262127550132
CDCP1,0.0359989938404189
CCL23,0.0289997011437293
BCAN,0.0278723196539263
CEP112,0.0269175914129545
ACTA2,0.0268473190744259
AFP,0.0256124537121319
NFASC,0.0251695799530668
PKD1,0.0237780548704959
PLA2G7,0.0236743897344174
CXCL17,0.0187808178422379
RASA1,0.0182670355420489
CD276,0.0150588630122636
B3GNT7,0.014961041643132
TNFRSF11B,0.0132820720615986
PVALB,0.0129372250061387
CEACAM1,0.0122314050862625
IL17RB,0.0117082353363267
MEPE,0.0104102209961241
CD207,0.0101915485248088
CA14,0.0097109833626413
AGER,0.0094405653616261
ATP1B4,0.0087219984978579
MUC2,0.008706663592948
CD300LF,0.0086260506202355
PSPN,0.0077647544695491
BEX3,0.0069280651071739
FOS,0.0068297398441474
PER3,0.0065457500363776
FASLG,0.006382970120041
RGMB,0.0062497548597994
MYH4,0.0061351757190906
FOLH1,0.005812476881604
IDS,0.0055947373788753
IFNGR2,0.0054137620654662
CCN4,0.0053746909588058
PENK,0.00536405637465
CLEC10A,0.0053411946097851
CD209,0.0052028647643273
SPINK5,0.0051972732607571
SIGLEC5,0.0051586174591197
HIP1,0.0046915807727855
PSG1,0.0046557923189507
CCN3,0.0044928344539049
MATN3,0.0043371982089797
IL20RA,0.0043172160453302
BCHE,0.0042746500281227
ERP44,0.0040495241471998
LPA,0.0037843214415531
METAP1,0.0036722344377986
EEF1D,0.0036172729251114
TK1,0.0034862613404826
JUN,0.0034108822997236
KLK4,0.0032776471761059
SEMA3F,0.0032321522893049
CEACAM6,0.0032307262664575
SIGLEC9,0.0031751073985864
FGFBP2,0.0031270842232863
VIT,0.0031120112100841
FEN1,0.0030862984350875
ADGRG2,0.0030354122388329
CALY,0.0030164157794348
IL18RAP,0.0030095842318665
DUSP13,0.0029873014319514
NCAM2,0.0029704909597978
BLOC1S2,0.0029686404710626
CA12,0.0029631767670191
RANGAP1,0.0029587558105553
CD1C,0.002943368212495
MMP8,0.0028484543270935
MOG,0.0027819300400836
CTRL,0.002762408692172
CHEK2,0.0027584281025265
PNLIPRP2,0.0027551295199363
C7,0.0027472213435737
NUDT15,0.0027192114194373
CLEC6A,0.0027161545261395
ICAM5,0.0027006895547502
FAM3C,0.0026666883738824
NXPE4,0.0026602808867794
ATP5PO,0.0026498901415798
IL5RA,0.0025843535649497
MANEAL,0.0025703401460498
ITGA11,0.0025285656234327
GBP6,0.0025270952227715
CCN5,0.0025100943645056
STAU1,0.0025026707907627
HHEX,0.002477793393475
ERCC1,0.0024573683700784
MEP1B,0.0024347379219928
LMOD1,0.0024052169021116
ACADSB,0.0023902479382119
GBA,0.002329934613904
SCGB3A2,0.0022979307913295
ITGBL1,0.0022975150785424
PARP1,0.0022046597755889
SERPINA12,0.0021867750981816
CDHR1,0.0021275675285989
PCDH12,0.0021043468024825
FCGR3B,0.0020584414060863
MFAP3,0.0020234758818921
FGF21,0.001998502256557
GCNT1,0.0019921698598528
FCGR2B,0.0019715739815687
FNDC1,0.0019433446933152
TIMP1,0.0019157202369999
MFAP4,0.0018972520779544
FLT4,0.0018313489405559
BMP4,0.0018168212159566
GPC1,0.001748585246976
SERPINA7,0.0017406340308344
CTSF,0.0017352529697034
SNED1,0.001721616885099
HSBP1,0.0016175426927424
HEBP1,0.0015679371738096
KIAA1549,0.0013824466695588
