Pro_code,ImportanceScore
ENDOU,0.0656464646464646
CRYBB2,0.0501414141414141
FOLR1,0.0426666666666666
FNDC1,0.0417272727272727
CCL4,0.0347676767676767
TCN2,0.0405757575757575
NECAP2,0.0352929292929293
AMOT,0.0422424242424242
ENPP6,0.0328383838383838
CHGA,0.0274545454545454
MUCL3,0.0335454545454545
CCL7,0.0351616161616161
PZP,0.0323030303030303
CTSO,0.032060606060606
CCL20,0.0365151515151515
CD82,0.0377575757575757
MMP3,0.0338080808080808
TNF,0.0288080808080808
LGALS9,0.0269090909090909
SPESP1,0.0268989898989899
GAST,0.0317070707070707
TIGIT,0.0335757575757575
SOX2,0.0275959595959596
VSIG4,0.0292727272727272
CLEC3B,0.0299595959595959
FAP,0.0208181818181818
PSAP,0.0201010101010101
ITGA2,0.0193333333333333
CHAD,0.0243737373737373
DPP7,0.0261414141414141
