Pro_code,ImportanceScore
CRYBB2,0.0782626262626262
PAEP,0.0794848484848484
CRLF1,0.0491717171717171
SIRT5,0.0462626262626262
CYTL1,0.0552626262626262
CALB1,0.0389292929292929
VWC2,0.0337979797979798
C19orf12,0.0362525252525252
MZB1,0.0338989898989899
UXS1,0.0305757575757575
MNDA,0.0274141414141414
CEBPB,0.0307474747474747
CCN5,0.0346767676767676
EIF5,0.0325353535353535
FEN1,0.0291818181818181
IL1RL1,0.0344646464646464
PI16,0.0298787878787878
CPOX,0.0275454545454545
LSP1,0.0252222222222222
NBN,0.0301818181818181
CCL14,0.0247979797979798
FABP6,0.0238989898989898
TNFRSF13B,0.0228181818181818
SMAD5,0.0248080808080808
NCF2,0.0203636363636363
ADAMTS8,0.0226262626262626
DSCAM,0.0232020202020202
S100G,0.0195050505050505
PADI4,0.019010101010101
IL16,0.0152222222222222
