Pro_code,ImportanceScore
NTproBNP,0.1399800916132579
GDF15,0.1104505762724946
EDA2R,0.0559846604181435
NPPB,0.0493599608157656
HSPB6,0.0462842891330302
ACE2,0.0409672666777261
NCAN,0.038443853804779
F10,0.0357723845969699
REN,0.0305683720173461
PSPN,0.0297270507868637
NEFL,0.0290948439203351
ADGRG2,0.0281187207980492
ADGRG1,0.024588537733226
NOTCH1,0.0237856229836656
KLK3,0.0225844920846077
INSL3,0.0195951773681115
BCAN,0.0179005360631694
MB,0.0167072236557891
SPINT3,0.0158788002259177
LRRN1,0.0158169947974207
TSPAN1,0.0150904600502426
PRRT3,0.0149861375897404
ACRV1,0.0141049359699766
LTBP2,0.0127690335432015
PROK1,0.0109715299751807
PTPRS,0.0109206933069376
IGDCC4,0.0106376639275347
FGFBP1,0.0098658525768364
IL13RA1,0.0068583365764341
CDH15,0.0064305673551888
PGF,0.0062926820351124
PROS1,0.0058707125924658
MLN,0.0058410587178224
EPHB6,0.0050099607279166
FASLG,0.0041912684270207
ENPP6,0.0038442994655826
FABP9,0.0035859157294847
PRSS8,0.0032886358341138
ERBB3,0.0031387498279149
CLEC3B,0.0027414130426394
CD1C,0.0024895133910941
KIRREL2,0.002370521094028
SEZ6L,0.0023641521044869
CCL11,0.002294200255592
RECK,0.0022823563161399
NOS1,0.0022277354986347
RASSF2,0.0021657506292291
ODAM,0.0021414982318751
XG,0.0020515802274834
SERPINA6,0.0019928162384171
FAM3D,0.0019483070729717
CDH5,0.0019347924700698
MN1,0.0018678209484172
SLK,0.0018292416504112
F7,0.0018221019383343
SWAP70,0.0017731757521663
CDHR2,0.0017438827560558
PTPRZ1,0.0016549326759159
PVR,0.0016173461545408
GSN,0.0015471295877187
VWC2L,0.0014922054930655
SERPINA7,0.0014728843167045
CTSF,0.0014445437002491
APOM,0.0014250602017389
YY1,0.0014178414772095
COL1A1,0.0012674422846008
SLC28A1,0.0012316284409708
APOA1,0.0011587375642403
MMP15,0.0009214384896205
