Pro_code,ImportanceScore
GDF15,0.0256464646464646
NTproBNP,0.0436565656565656
REN,0.0249090909090908
HAVCR1,0.0199595959595959
MMP12,0.0087777777777777
FGF23,0.0073737373737373
IGFBP4,0.0016969696969696
NPPB,0.0073535353535353
PRSS8,0.0144545454545454
EGFR,0.0134949494949494
ACE2,0.0134444444444444
CHCHD10,0.0074444444444444
CCL3,0.0106464646464646
DCBLD2,0.0116363636363636
LRRN1,0.013090909090909
CLEC3B,0.0127979797979797
UMOD,0.0057171717171717
APOM,0.0084242424242424
CLEC1A,0.0108888888888888
IL12RB1,0.0094949494949494
ADM,0.0067272727272727
MMP3,0.0064242424242424
EDA2R,0.0028888888888888
TNFRSF12A,0.0038080808080808
XG,0.0086868686868686
GPR15L,0.0103939393939393
CD48,0.0079797979797979
MEP1B,0.0062828282828282
WFDC2,0.0036969696969696
PGF,0.0027878787878787
PRSS2,0.0059494949494949
ACTA2,0.0053838383838383
TFF1,0.0036767676767676
FABP3,0.0052525252525252
TNFRSF10B,0.0018080808080808
REG1B,0.0066161616161616
NEFL,0.0064141414141414
CD5,0.0051616161616161
PON3,0.0047272727272727
LTBP2,0.0044141414141414
IGFBP6,0.0019191919191919
ALCAM,0.0057474747474747
CHI3L1,0.004060606060606
REG3A,0.0053232323232323
MFGE8,0.0038888888888888
GAST,0.0053434343434343
ANGPT2,0.0039797979797979
CTSL,0.0037272727272727
CDCP1,0.0046464646464646
CTHRC1,0.0022323232323232
CTSS,0.0096060606060606
IL2RA,0.0049595959595959
NPL,0.0028989898989898
SUSD2,0.0064949494949494
CCL16,0.0036262626262626
TNFRSF10A,0.0024545454545454
CD83,0.0044848484848484
LY6D,0.0052222222222222
SPINT1,0.0048585858585858
NOS3,0.005020202020202
CXCL17,0.0033737373737373
IL6,0.0029797979797979
DTNB,0.0049191919191919
CD38,0.0019393939393939
CST3,0.0017272727272727
DCN,0.0041919191919191
BAMBI,0.0025454545454545
EPO,0.0032323232323232
C7,0.0039191919191919
CRIP2,0.0037878787878787
MAMDC2,0.0027777777777777
SDC1,0.0033737373737373
ADGRG1,0.005050505050505
CD79B,0.0022929292929292
PILRB,0.0028686868686868
CDSN,0.0044545454545454
LGALS1,0.0013636363636363
VSIG2,0.004020202020202
FGFBP1,0.0032121212121212
COL5A1,0.0037373737373737
CEACAM8,0.0029191919191919
ANXA10,0.0026666666666666
IGFBP7,0.0055252525252525
CCL21,0.0046565656565656
GFRA1,0.0041515151515151
REG4,0.0035151515151515
MSR1,0.0032121212121212
CALCA,0.0031818181818181
MYBPC1,0.0028484848484848
LGALS3,0.0035353535353535
SEL1L,0.003050505050505
TNFRSF6B,0.0013838383838383
MZB1,0.0021818181818181
CHGA,0.0041515151515151
EDN1,0.002020202020202
CD27,0.0014545454545454
TNFSF13,0.0021010101010101
LGALS4,0.0021111111111111
MB,0.002040404040404
SIGLEC10,0.0025454545454545
MMP7,0.0032222222222222
CXCL8,0.0013535353535353
PDCD1,0.0018989898989898
TNFRSF8,0.0036060606060606
CPM,0.0047777777777777
CD14,0.0023636363636363
CDH3,0.0042727272727272
CCL25,0.0022929292929292
IL4R,0.0026565656565656
NFASC,0.0022929292929292
HPGDS,0.0027474747474747
CXCL11,0.0026565656565656
LCN2,0.0023030303030303
LAG3,0.001030303030303
CXADR,0.0032222222222222
CDNF,0.0025757575757575
XCL1,0.003010101010101
ANGPTL1,0.0028686868686868
EPHB6,0.0021717171717171
FGL1,0.0018080808080808
AMBP,0.0018585858585858
CXCL9,0.0027979797979797
CLEC6A,0.0019292929292929
SCARA5,0.0019090909090909
GCHFR,0.0031616161616161
PI3,0.0011010101010101
FGFR2,0.0015757575757575
IFNGR1,0.0014848484848484
SRPX,0.0027878787878787
TFRC,0.002050505050505
ACY3,0.0012424242424242
IL17C,0.0017373737373737
ATRAID,0.0021212121212121
GRN,0.0013232323232323
TNFRSF13B,0.0027878787878787
F10,0.004030303030303
NCR1,0.0013636363636363
SFRP1,0.002010101010101
ERMAP,0.0006868686868686
CD300LF,0.0024949494949494
CANT1,0.0018686868686868
EPHA2,0.0016767676767676
KLK4,0.0021313131313131
ITIH3,0.0016868686868686
IL1RL1,0.0018585858585858
CRTAM,0.002070707070707
PTN,0.0014949494949494
B4GALT1,0.0036565656565656
MERTK,0.0017272727272727
CFC1,0.0018888888888888
HRC,0.0018484848484848
AOC3,0.0019595959595959
SPON1,0.0014040404040404
SEMA7A,0.0015050505050505
NOS1,0.0022929292929292
CLEC7A,0.0019090909090909
PDGFRA,0.001030303030303
CA9,0.0012121212121212
KLRB1,0.0022929292929292
WARS,0.0014646464646464
RETN,0.0018787878787878
MFAP4,0.0016969696969696
SEPTIN8,0.0009797979797979
IMMT,0.0014646464646464
LAIR1,0.0016161616161616
CLEC14A,0.0023131313131313
PTPRN2,0.0017070707070707
SCG2,0.002050505050505
IL15,0.0018787878787878
PRG2,0.0021212121212121
OSCAR,0.0018282828282828
ADA2,0.0013939393939393
COL18A1,0.002020202020202
CD99,0.0011010101010101
CD300C,0.0013737373737373
CD40,0.0015353535353535
TNFRSF9,0.0029292929292929
EGFL7,0.0014444444444444
CSTB,0.0011515151515151
PDZK1,0.0022222222222222
COL4A1,0.0015252525252525
PGA4,0.0016262626262626
NRP2,0.0017474747474747
ITGBL1,0.001070707070707
APOA2,0.0018989898989898
EPHA1,0.0014444444444444
MAD1L1,0.0016969696969696
EFNA1,0.0014040404040404
FBLN2,0.0015050505050505
SPINT2,0.0007676767676767
IGFBPL1,0.0013838383838383
RBFOX3,0.0009292929292929
VSIG4,0.0009292929292929
TCN2,0.0013737373737373
LGALS7_LGALS7B,0.0011818181818181
LRP11,0.001010101010101
IGSF8,0.0011010101010101
PLA2G15,0.001080808080808
TNC,0.0013636363636363
IL18R1,0.0015858585858585
SPP1,0.0013030303030303
FGF21,0.0011414141414141
PTGDS,0.0006969696969696
PRELP,0.0014747474747474
GPR37,0.0012828282828282
TNFSF13B,0.0017878787878787
CCL14,0.0012222222222222
PRAP1,0.0011414141414141
NT5C1A,0.0013535353535353
BTN3A2,0.0012323232323232
THBS2,0.0012727272727272
QPCT,0.0012121212121212
GCNT1,0.0009393939393939
SPON2,0.0006666666666666
LY96,0.0011616161616161
RBP2,0.0011616161616161
FGF5,0.0009999999999999
KLK11,0.0007070707070707
TREM2,0.0012727272727272
FSTL1,0.001020202020202
FABP1,0.0012828282828282
LAYN,0.0017272727272727
IL15RA,0.0014545454545454
RELT,0.001080808080808
EPHB4,0.0006161616161616
CLMP,0.001040404040404
DCTPP1,0.0011414141414141
MMP8,0.0011515151515151
CKB,0.0014848484848484
CKAP4,0.0012626262626262
GPRC5C,0.0013636363636363
GDNF,0.001090909090909
FOLR1,0.001010101010101
MCFD2,0.0013030303030303
TNFRSF11B,0.0013939393939393
AREG,0.0009797979797979
IL1RN,0.0012828282828282
CDH1,0.0011616161616161
NCR3LG1,0.0009595959595959
POLR2F,0.0012626262626262
ROBO1,0.0011010101010101
ACVRL1,0.0006868686868686
ICAM1,0.0009595959595959
DSC2,0.0014747474747474
ST6GAL1,0.001050505050505
CCL15,0.0009292929292929
LGMN,0.0012828282828282
CRELD1,0.0011616161616161
CCDC80,0.0009494949494949
CA5A,0.001010101010101
PDCD1LG2,0.0012626262626262
SFTPD,0.0009595959595959
FABP5,0.0011414141414141
IL1R1,0.001050505050505
B2M,0.001020202020202
C1QA,0.001050505050505
TXNDC5,0.001060606060606
RSPO1,0.0009595959595959
SMOC2,0.0015858585858585
ROR1,0.0007777777777777
DKK3,0.0009999999999999
TIMP4,0.0009595959595959
PCSK9,0.0009393939393939
LAMP3,0.0011010101010101
ULBP2,0.0008888888888888
LILRB4,0.0009191919191919
MUC13,0.0013131313131313
