Pro_code,ImportanceScore
EPHA2,0.0543025438049991
GDF15,0.0442246193337144
VSIG4,0.0360188816160031
ADAMTS13,0.0346162247137677
FCRL5,0.0313533274951664
LTBP2,0.0307733062549284
PSG1,0.0305851328250267
LAMA4,0.0285937276507427
EDA2R,0.0267920343584828
CSF1,0.0235126867836582
TNC,0.0228840563034166
NINJ1,0.0223226686487595
THBD,0.022034485968821
FSTL3,0.0216162441823401
ZNRD2,0.0207457599417636
HPGDS,0.0207403378274134
NEFL,0.0204511606996234
ACVRL1,0.0190996548450343
SHISA5,0.0165802459846948
AKR7L,0.0156335863924419
TFPI2,0.0152926282635825
CBLN4,0.0132818465729818
SUSD5,0.0119816720620611
DPP4,0.0118199996968822
LPA,0.0113920908681455
GFRA3,0.0112305098140093
PGF,0.0105916308419991
LY9,0.0100303599591302
TNFRSF4,0.0099213779930732
CTHRC1,0.0094955166314834
BMPER,0.0087766472018274
PSRC1,0.0085287535966444
CNGB3,0.007131787614906
ITIH4,0.0069954227981879
CD177,0.0069379483863524
MATN3,0.0068603926873899
CXCL13,0.0067549722997213
DCXR,0.0066444325761506
CLC,0.00646647606582
IL19,0.0063753442722009
ACTA2,0.0062127627762988
REN,0.006140119894627
CD302,0.0055324266086449
MCTS1,0.0053748310005
PHOSPHO1,0.0053388536664305
KIT,0.0051250062331917
ADM,0.004938606450579
FGF19,0.0047980956069363
OMP,0.0044148666023597
CHGA,0.0043983935153907
CTRB1,0.0043638066675478
CD33,0.0041762504353448
THBS4,0.0041704847902583
AGR2,0.0040756954756968
ATF4,0.0040522841469094
RAB33A,0.0040476035890627
PCDH9,0.0039631257346431
EIF5A,0.0039272368284105
PTPRN2,0.0038959390466417
FZD8,0.0038683495383687
ROBO2,0.0038522681580232
PPM1B,0.0037942270116294
KRT18,0.0037008054408335
LY6D,0.0036777117160951
PGLYRP2,0.003550234777564
MYOM3,0.0035431561771239
MST1,0.0035358513361383
MUC13,0.0035331995577679
FUS,0.0034851502284132
CD34,0.0034406326552598
INHBC,0.0034395656871826
BGN,0.0033655606075135
VWF,0.0033334435848178
TINAGL1,0.0032965583882235
NTRK2,0.0032832019224081
IL36A,0.0032791245041744
IL5RA,0.0032628915589717
AMDHD2,0.0032605631397372
PRTG,0.0032331804222772
CD200,0.0031781377588942
ANXA2,0.0031700095852924
LAMTOR5,0.0031475880203083
DPP10,0.0031211627195747
NCAM2,0.0030565978767971
OGN,0.0030154375252672
CA6,0.0029937768295116
IL6,0.0029485271648615
CSF3,0.0029381256543294
IFIT1,0.0029093830811254
FSHB,0.0028742277857531
ITGB2,0.0028674518453195
AMBP,0.0028614406069385
SPINK8,0.0028494895060317
IL33,0.0028343784863497
TFRC,0.0028202084084793
CREBZF,0.002801796667782
PLA2G2A,0.0027964133523297
SOD3,0.0027707700702797
DMD,0.002766153548476
OLR1,0.0027289041321901
COMP,0.0027228153384256
KAZALD1,0.0027133325010341
MSMB,0.0026671302753262
COL9A1,0.0026588640406429
SERPINA9,0.0026582934095807
EVPL,0.002656945786934
CLEC4G,0.0026516232199911
MFGE8,0.0026345596074865
ALPP,0.0025882682212242
GYS1,0.0025711192544962
AXL,0.0025651491561793
DPEP2,0.0024764970438671
GABARAP,0.0024278448980519
ACY1,0.0023203070022786
IGFBP2,0.0023095936555802
TGFBR2,0.0021706162031901
NGFR,0.0021457619354365
ATP5PO,0.0020913089994038
FCRL1,0.0020124738649425
FCRL6,0.0018334491957286
OPLAH,0.0016015044489593
