Pro_code,ImportanceScore
WFDC2,0.1925000077714886
BPIFB1,0.041653482492333
CA14,0.0410993573754109
CXCL17,0.0402181480347257
MEPE,0.0386148110086867
ADAMTS8,0.0362477981004124
AGER,0.0362465809580967
EDA2R,0.0310254951597123
CCL18,0.0305119844603974
GDF15,0.0287811677991692
CDCP1,0.0279713190289028
TSPAN1,0.0270351502227243
LTBP2,0.0266133835496492
SPINK5,0.0263605420102177
TIMP4,0.0254656576552766
CHGA,0.023308794455653
CA4,0.0228515775595612
LILRA5,0.017942467209019
IL5RA,0.0163923131356976
LAMP3,0.0149333680133598
CCL19,0.0149142325876708
IFI30,0.0122355305304579
FCRL1,0.0117605924511056
LRG1,0.011757951629661
ENDOU,0.0116190933982007
ODAM,0.0112513389136512
MSLN,0.0109521967263571
CXCL9,0.0106759468943263
TNC,0.0103783925203108
IGDCC4,0.009801462393312
CD207,0.0094095478538065
DPP4,0.0077165566220542
SCGB3A1,0.0075644762893481
PRR4,0.0066128371762702
ART3,0.0063529373153572
ADIPOQ,0.0060290463668622
CXCL13,0.0057968004033518
PSG1,0.0053432033301763
CLEC14A,0.0049371244546509
CRLF1,0.0042877164128028
MRC1,0.0042851764281009
ENPP5,0.0042396637020619
MZB1,0.0041979170163217
JAM2,0.0041007601729712
CBLN4,0.0036701558030276
TNFRSF10B,0.0036188184181562
FCAR,0.0031739695355607
PRSS27,0.0029473968080167
CD28,0.0027878625914786
NECTIN2,0.0027561708907855
AGRP,0.0026579558795953
CD5,0.0025228726643461
C9,0.002436180034914
NTF4,0.0023698766256327
TNFRSF13C,0.0023207876458053
OBP2B,0.0022898686559938
PDGFRA,0.0022265443928276
HEPH,0.0021416180388179
APOC1,0.0021337324907053
PSCA,0.0020817105652454
TFF3,0.0019834024251655
CD80,0.0019491981047118
UXS1,0.001935056685536
STC2,0.0018980734364966
NDUFS6,0.001885982902578
PLAUR,0.0016276319500149
SERPINA11,0.0016220336362353
TTR,0.0015557358017322
CD1C,0.001413456426934
