Pro_code,ImportanceScore
GDF15,0.0947004948349079
MMP12,0.0432893924840782
VSIG2,0.0391660430571086
PTGDS,0.0383108023577645
CHGA,0.0374060649279816
TNFRSF4,0.0361633952172294
TFF3,0.0352569558276653
CA6,0.0310154445028264
TGFA,0.0304989476428859
CD27,0.0279928401681356
HAVCR1,0.0274680707468763
PRSS8,0.0274605882796717
LGALS4,0.0256274021877004
CA14,0.0252838409313691
RARRES2,0.0226805450895085
FCRL1,0.0218242280374221
CXCL9,0.0216365067907726
FSTL3,0.0212944031697196
ADM,0.021185404984894
ITIH3,0.0186976667798877
GUCA2A,0.0154332198136268
LRRN1,0.013501719436032
BRK1,0.0134445868944386
ICAM3,0.0118333953107778
NCAM1,0.0114415231375772
TNFRSF8,0.0103904063844452
TSLP,0.0091730536118269
THSD1,0.0091070894538824
C19orf12,0.0089810278928955
AREG,0.0089746285164341
NOS3,0.0088644696559202
TNFRSF17,0.0088257060571629
GP1BA,0.0085364796722921
GALNT10,0.0085021066471127
SPP1,0.0080535050407758
CD63,0.0078695953284755
INSL5,0.0078020515747643
GZMB,0.0074686668628196
GAST,0.0069836601588212
PTN,0.0068017926664908
GALNT2,0.006716046400519
ANG,0.0066643283079603
CDCP1,0.0063301806678524
F7,0.0063277098995129
IL10,0.00602151145088
RNASET2,0.0056022238496625
WFIKKN2,0.0053147616264762
ADAMTS13,0.0052137956826636
IGF2R,0.0049003165720005
WFDC2,0.0048165987327847
CEBPB,0.004731309094955
PLAUR,0.004307786606018
CD5,0.0040779406313057
LDLR,0.003892367338301
CLEC7A,0.0038656706792831
CRTAM,0.0035228157440215
IL6ST,0.0035003033898909
SERPINF1,0.0034631838382308
GFRA1,0.0032968076764923
COL5A1,0.0032843530786776
TNFRSF1B,0.0032744055288421
IGFBP2,0.0032434854562367
ARHGEF5,0.0032423587372877
SEL1L,0.0032042141625566
EIF5A,0.0031203863914518
ANGPT2,0.0031175169456314
SHD,0.0029896376637328
FABP6,0.0029487793338462
OLFM4,0.0029283783680524
MEPE,0.0028626527103561
NPPB,0.0027721571015074
NPY,0.0027483088019555
REG1B,0.0026076223186879
DCBLD2,0.0025701211799058
LARP1,0.0025394968219145
NCAM2,0.0024696527221216
IGFBP4,0.0024613427953774
LRIG1,0.0022622299474131
B2M,0.0022363793204662
LIFR,0.0022160014096998
DPP7,0.0022042515000888
EBI3_IL27,0.0020942606463974
TFF1,0.0020591891988905
TNFRSF10A,0.0017488513103411
TNFRSF1A,0.001280586224771
