Pro_code,ImportanceScore
INSL3,0.2164985972825228
KLK3,0.1209670774052916
LEP,0.0802110414112323
EDDM3B,0.0481847307057302
SPINT3,0.0402054529899121
EDA2R,0.0386934278546455
RET,0.0266885813425314
PROK1,0.0260194570463134
XG,0.024320436412539
ENPP2,0.0240640222974286
ACRV1,0.0239512233608307
CGA,0.0220189401062524
CDCP1,0.0211705929017103
TSPAN1,0.0209674642704297
WFDC2,0.0206672581971622
EGFR,0.0197624954888786
ELN,0.0181131965682251
GDF15,0.0157965043035827
CKB,0.0152916313658609
DPP4,0.0146380800939652
PSPN,0.0140016352011305
HSPB6,0.0135846163915753
KLK7,0.0130822902446958
KLK4,0.0125631096633485
CTSV,0.0094272742544984
ADIPOQ,0.0092000038755751
IGFBP2,0.0079667806214882
CNTN1,0.0070516408867947
PGA4,0.0069479145018771
LAMP2,0.0066594325065593
CELSR2,0.0063501480495217
COL15A1,0.0053245543567347
ANPEP,0.0037203915437326
CHGA,0.0035572863254324
NTproBNP,0.0034772994250818
ERBB3,0.0034525936509957
CD38,0.0033846607256223
CA14,0.0033387784010911
NEFL,0.003264954238814
MMP3,0.0030710162295285
SPRR3,0.0028546350797896
IL13RA1,0.0027497599094329
ACTA2,0.0026587426037449
FABP4,0.0026079664787946
CXCL16,0.0021064878611782
CALB2,0.002068543176957
B4GAT1,0.0019757234909519
SUSD5,0.001582070794788
TNXB,0.0012807073148495
CXCL17,0.0012751033491351
PRSS53,0.0011836674412332
