Pro_code,ImportanceScore
ADM,0.0453145818325703
FSTL3,0.0446450967676704
TNFRSF10B,0.0298682132830265
TFF2,0.0295819265492262
ANPEP,0.0280693576966425
GAST,0.0267603056938498
TFPI2,0.0253277882965125
CHL1,0.0242857691630582
PLA2G15,0.0240469551686611
ITGA11,0.0238975181073456
ASGR1,0.0235325779758367
LIF,0.0232284514377297
LGALS9,0.0210182104514702
SELENOP,0.0197113370487703
CCL20,0.0193562221364984
AIDA,0.0188612532774611
PYDC1,0.018648780096
GDF15,0.0181307756446788
CXCL5,0.0168848804430972
DCC,0.016013224148576
FABP4,0.0156249813138259
DNER,0.0145379874125501
UXS1,0.0138060917527551
CSF1,0.0137677747857727
CD27,0.0136439380698362
IL4R,0.0129628609754262
HGF,0.0117738883225136
CBLIF,0.0111901476834559
IL6,0.01118450906736
LEFTY2,0.0105248290796749
IFNGR2,0.0098177578717454
TNFRSF1B,0.009312217470967
FGF23,0.008982588908763
ENTPD2,0.0081277757959158
DEFB4A_DEFB4B,0.0079366453341931
ITGB6,0.0077463343103144
FOLR3,0.0076841366694087
SERPINA7,0.0073512568392785
ANK2,0.0073335836143127
PTN,0.0072028835950706
FURIN,0.0070538748744399
WFIKKN2,0.0070334046010882
PTK7,0.0066720553970974
TP53INP1,0.0065780466555964
HDGFL2,0.0063279412067658
CTSL,0.0061738029740488
AZU1,0.005923063629072
LEP,0.0056130403511739
TFF3,0.0056043229783993
IL17C,0.0055033552719643
CCL2,0.0046644317219197
MSTN,0.0042285424507422
PALM2,0.0042153663965203
KIRREL1,0.0041932849091985
EPO,0.0041808205241473
CLEC1A,0.0041503898358162
IL36G,0.00413049118899
CD34,0.0040494714438688
IL17A,0.004022341945028
DUSP29,0.0039335196982654
DKK3,0.003919110963828
MEGF9,0.0038699570508449
MMP7,0.0038556487123949
GSN,0.0038058769641629
AMOT,0.0037704952033904
NXPH1,0.0037117934113186
HPGDS,0.0036986884928976
SAP18,0.0036693738355719
NPPB,0.0036579553097227
SCT,0.003624856746686
LAMB1,0.0035763921099279
IL6R,0.003565525646576
IL6ST,0.0034925695767402
SIGLEC15,0.0034785576236291
FGFR2,0.0034396990088337
ANGPTL7,0.0034252652340235
CELA2A,0.003407897171274
IGDCC4,0.0033987866192681
APOD,0.0033602078708928
HYOU1,0.0033372907227285
CHGA,0.0033356176944431
RLN2,0.003289624362339
PTGR1,0.0032696903465386
CFI,0.0032249539745818
LY96,0.0031853000778322
CRISP2,0.0031578104992806
MFGE8,0.0030914515762066
CPVL,0.0030768326689023
XPNPEP2,0.0030342018772229
CKAP4,0.0030265892198556
SMOC2,0.0030249912662665
RTBDN,0.0030220572273323
CNP,0.0030183963829319
FLT1,0.0029929056237755
NPTN,0.0029890634629599
PRDX1,0.0029466903813753
SPINK4,0.0028941797571574
NID2,0.0028738764068215
PRKD2,0.0028675717790823
GSTA1,0.0028313862170766
DDA1,0.0028040802639902
GGA1,0.0028003898613506
CDH1,0.0027864421781238
CHRDL2,0.0027626300166494
NFASC,0.0027360541651797
NTF4,0.0026909791318883
F3,0.0026699014952119
GLYR1,0.0026418196473954
FCRL5,0.0026397005735221
ADAMTS8,0.0026377710151715
SCP2,0.0026295764248546
RNASE1,0.0026117319825543
HBEGF,0.0025723697975933
TPPP2,0.0025624698436031
ICAM5,0.0025481951531943
MZB1,0.0024579487629912
IL13RA1,0.0024395730045937
SPON2,0.0024291118902906
OBP2B,0.0022158056425587
GFRAL,0.0018334008659169
SIGLEC6,0.0018065557975598
NECTIN2,0.0015573712631433
