Pro_code,ImportanceScore
IL6,0.0484444444444444
IKZF2,0.0428686868686868
LTO1,0.0506262626262626
ACOX1,0.0444040404040404
APOM,0.0413838383838383
NELL1,0.0465656565656565
PILRB,0.0485252525252525
NOS3,0.0357070707070707
MSLN,0.0365151515151515
LRIG3,0.0328888888888888
IL11,0.0519797979797979
KCNIP4,0.0368787878787878
TRIM21,0.0294242424242424
CD22,0.0388383838383838
LGALS9,0.037060606060606
SHISA5,0.0346868686868686
CXCL13,0.0281111111111111
CD72,0.0365656565656565
FAS,0.0317272727272727
LAG3,0.0302222222222222
TIGIT,0.0305454545454545
CEP112,0.0275252525252525
ADA2,0.0271313131313131
TNFRSF4,0.0251818181818181
ALDH5A1,0.0206161616161616
PDCD1,0.0186868686868686
RNF149,0.0212020202020202
GFRA1,0.0156060606060606
CD79B,0.0163939393939393
PDIA3,0.0136868686868686
