Pro_code,ImportanceScore
GDF15,0.1859986397004599
EDA2R,0.1033030107257162
NEFL,0.0508328664458844
NCAN,0.0447439766004867
LTBP2,0.0392449183146541
TCL1A,0.0350687832955049
BCAN,0.0307570066194997
MEPE,0.0303000324276286
ACTA2,0.0298255482658007
PSG1,0.0285150361546855
CHAD,0.0278627882343469
HPGDS,0.0278075688896067
CXCL14,0.0277109888668873
DPP4,0.027315140506081
RET,0.0252081414223227
ADM,0.0240789560128894
VSIG4,0.0220925660624372
TNFRSF1B,0.0191789172608365
ANGPT2,0.0185125653097053
FABP9,0.0157221967802081
MMP12,0.0155718010277654
FCRL1,0.0153007898855405
AREG,0.0127032279983556
PLAUR,0.0125586698870638
EGFR,0.0116487234654477
ELN,0.0113950105831564
TNFRSF10B,0.0110442191607411
CLEC3B,0.0100028324363683
LRRN1,0.008056279148821
CHI3L1,0.0057570621925739
CDCP1,0.0048500980701328
GHR,0.004178460175776
KLK4,0.0038325414414918
SLAMF8,0.0036987346045451
CD302,0.0036930564400376
CD1C,0.0033693133158851
KIT,0.0033388196196537
APOM,0.0032313197708764
PI3,0.0031515321949466
CA14,0.0026729209018928
NTF4,0.002523586656113
CCL23,0.0024032669222584
TNXB,0.0023616968140897
HAVCR1,0.0020137757903673
COMP,0.0019775813839385
HSPB6,0.0017605903148426
PON3,0.0016882191367626
FGFBP1,0.0016788660372218
FGFBP2,0.0016621384814826
GZMA,0.0016282640842891
CXCL9,0.0016238736338975
REN,0.0016236442777838
CTHRC1,0.0014784170275837
ITGAV,0.0014750280302388
CD80,0.0014293989065986
NPPC,0.0014214144059594
CILP,0.0013859426342153
COL6A3,0.001300597582692
NPPB,0.0011577187614472
RNASET2,0.0011084166907392
COL1A1,0.001097106130014
PGF,0.0010653960807483
