Pro_code,ImportanceScore
PSPN,0.0664141414141414
TNF,0.0397575757575757
TAGLN3,0.0472222222222222
IL5,0.0417171717171717
NRTN,0.040080808080808
LGALS7_LGALS7B,0.043030303030303
COL18A1,0.0346262626262626
DCUN1D1,0.0371111111111111
TIGAR,0.0434444444444444
VAMP5,0.0388888888888888
NPC2,0.0329292929292929
DLGAP5,0.034010101010101
CBLN4,0.0424949494949494
SEMA3G,0.0328686868686868
GAST,0.0296262626262626
NEFL,0.0274848484848484
FABP3,0.0299999999999999
UROS,0.0322525252525252
CDAN1,0.0278181818181818
GSR,0.0276565656565656
BRD1,0.0246666666666666
LMNB2,0.0274343434343434
CTNNA1,0.0341111111111111
RANBP2,0.0277878787878787
CD82,0.0321313131313131
IGFBP2,0.0212020202020201
TGOLN2,0.0215858585858585
REST,0.0252323232323232
GM2A,0.0193030303030302
CKB,0.0171111111111111
