Pro_code,ImportanceScore
POSTN,0.0611616161616161
CHI3L1,0.0494848484848484
SFRP4,0.042010101010101
KLK4,0.0514747474747474
CCER2,0.0396565656565656
GFRA3,0.0391515151515151
CLEC3B,0.0337373737373737
MPO,0.0411515151515151
TP53BP1,0.0393434343434343
C4BPB,0.0357878787878788
APOM,0.0357979797979798
ADM,0.0383030303030303
CEACAM16,0.0302929292929292
MIA,0.0339898989898989
FCAMR,0.026080808080808
CHAD,0.034030303030303
CLPS,0.0342626262626262
CKB,0.0339797979797979
FGL1,0.0414343434343434
TIMP4,0.0266868686868686
NPPC,0.0344646464646464
SEMA3G,0.0309696969696969
RTN4R,0.0216969696969696
SFTPD,0.0246464646464646
IGFBP2,0.0235252525252525
DLK1,0.025050505050505
APOA1,0.0177575757575757
APOA2,0.0206969696969696
SSC4D,0.0189292929292929
BPIFB1,0.0144444444444444
