Pro_code,ImportanceScore
GDF15,0.088597739081973
GAST,0.0596979668440987
TNFRSF10B,0.0530172828746838
PPY,0.0436694392860251
GP2,0.0433180338231391
LEP,0.0345687437121521
MMP7,0.0329705379344148
ALPP,0.0313516175705008
CA14,0.0305661103321211
CDCP1,0.02952096799889
GAL,0.0281861377677213
AMBP,0.0261711497353475
CLMP,0.0238961369247715
KLK13,0.0213668168408158
C19orf12,0.019855205285647
ADM,0.0190771723370209
TARM1,0.0179264662688249
CHGA,0.0178542381037035
CAPS,0.0178369847515636
GRP,0.0162885565394864
CR2,0.0151941887516744
COL6A3,0.0147160488988647
TIMP4,0.0142102602807855
PLA2G7,0.0139169180154112
EGFR,0.0135413497369984
GGA1,0.0120549856503751
NTRK3,0.011758747996848
PLAUR,0.0112519530282199
COL9A1,0.0105135075374972
PIK3AP1,0.0096060407419228
CRELD1,0.0095857600494128
HPGDS,0.0089947360014985
AGRN,0.0088588845602939
SPAG1,0.0070064663250937
NCS1,0.0068626367371526
VSIG2,0.0059759779026441
TMPRSS15,0.005911108022212
POMC,0.0057153214401704
PZP,0.0056786561341177
GABARAPL1,0.0056717214135546
CD83,0.0056461447981177
GADD45B,0.005442472104373
MRC1,0.0052165994741323
S100G,0.0048688618470771
PIGR,0.0046901793568516
CCL20,0.0041073306698951
CDH3,0.0038138763651289
DCN,0.0035191519109049
ADGRE2,0.0034109988990602
TNFRSF8,0.0033952120923785
GHRHR,0.0033860751259691
SIGLEC1,0.0032166120005571
CTRL,0.0032039617074539
SIT1,0.0031369903534873
RGMB,0.0030248476621689
FRZB,0.0028843609881562
ITGA11,0.0028293375080502
BSG,0.0027785308369808
LGALS3,0.0027778579326608
GC,0.0027552712731688
HAVCR1,0.0027474184581069
WFIKKN2,0.0027452335251544
FGA,0.0027101373109416
MANSC4,0.0026956457929321
ASGR1,0.0026693993890538
REN,0.0026642864681122
FLT3,0.0026405031603353
GKN1,0.0026301793884498
CD276,0.0025850625168008
TK1,0.0024882443633013
SOX9,0.0024014010484978
CDH5,0.002350540095322
CWC15,0.0023299119593336
TFF1,0.0023035906931461
ENAH,0.0022973604743059
CA6,0.0022728373696388
LRRC37A2,0.0022308582651306
C1QL2,0.0022303957213969
NEFL,0.002201164567818
LYPD1,0.0021204847333575
LGALS4,0.0021171794762019
PGA4,0.0020838732223979
DLL4,0.0020455306943434
EDA2R,0.0020079305031688
FCN2,0.0019794532102966
UXS1,0.0019014183058122
KLK10,0.0018862143521117
SULT2A1,0.0018661952553383
NBL1,0.001733952981864
ALCAM,0.0017291347216477
GIPC2,0.0016425191965932
CPOX,0.0014882815114073
MMP12,0.0013364151234562
