Pro_code,ImportanceScore
PAEP,0.0872222222222222
CGA,0.0491111111111111
FSHB,0.0534141414141414
LEFTY2,0.0714646464646464
C1QA,0.0608181818181818
RSPO1,0.0474949494949495
CHRDL2,0.0592525252525252
SEC31A,0.0346767676767676
KIAA1549,0.0374242424242424
SETMAR,0.0489393939393939
TSPYL1,0.0316464646464646
GNPDA2,0.02710101010101
GLRX5,0.035050505050505
FNTA,0.0242727272727272
PAXX,0.0269090909090909
GSR,0.0227979797979798
LETM1,0.0262828282828282
TNFAIP2,0.0236969696969697
BNIP2,0.0284444444444444
RTN4IP1,0.0205959595959596
GPI,0.0239595959595959
DNM3,0.0253434343434343
DDHD2,0.020010101010101
GRHPR,0.0145656565656565
COX6B1,0.0175252525252525
RABEP1,0.0276767676767676
NT5C,0.0127777777777777
PPIF,0.0145757575757575
MOCS2,0.0142424242424242
ANKMY2,0.0127070707070707
