Pro_code,ImportanceScore
EPHB4,0.0473217979836476
HAVCR1,0.0439268256876946
CD302,0.0338830087685624
EPHA10,0.0262590832671887
TNPO1,0.0228436287144275
CD27,0.0222743345500363
IL18RAP,0.0220940703537367
GZMB,0.0201150198575346
LGALS4,0.019653541259332
LTBR,0.0186127228698319
FABP6,0.0176956626744918
PLAUR,0.0173263851286954
NCR3LG1,0.0157425733612695
IL10RB,0.0156110316812113
PILRA,0.0154792776538437
RBFOX3,0.0148705215813183
IGFBP3,0.0131214887771059
HGFAC,0.0129958809364844
CRYM,0.0128874826103368
GPKOW,0.0117942599581089
ASGR1,0.0114539633628993
ICAM2,0.0107074370572182
ENTPD2,0.0103967051262709
TGFBR3,0.0102960363567873
KLK6,0.0098922972879668
LATS1,0.0094420939761325
CD79B,0.0094323970023656
CPXM1,0.009271053779984
ADAMTS16,0.0090969942044122
PGLYRP4,0.009061761184589
CPB1,0.0086829091019928
AMBP,0.0085717083768019
SELENOP,0.0084608287949768
PODXL2,0.0076400615690724
KIAA0319,0.0071806810006972
CPA1,0.0068678255496686
KLK11,0.0068335932096809
MYH4,0.006693419708757
TNFRSF4,0.0065052608539902
RGMB,0.006497848134191
CWC15,0.0064685678585777
MAPK9,0.0063790714302009
CNTNAP4,0.0063190770555348
CRHR1,0.0062246208401644
MARCO,0.006212727891766
ART3,0.005896081290619
NELL1,0.0058029599325531
MRI1,0.0057415156355708
IL19,0.0053925495981694
NPPC,0.0051375869746637
MMP7,0.0050901453743403
CFH,0.0046573403193162
LRP11,0.0045669599864481
CASP10,0.0045163491200952
PILRB,0.0044435633809297
GC,0.0044312156047191
CD274,0.0044200291988803
DUSP3,0.0044198528991661
NHLRC3,0.0043297721853315
FLT4,0.0043272211020576
SIL1,0.0043023608669325
SOX9,0.0042354876312619
CHI3L1,0.0042076672689766
RIDA,0.004155259000165
MXRA8,0.0041371816232671
CCL24,0.0040476332677283
MAGED1,0.0039660186013426
GASK1A,0.0039220802217829
IKZF2,0.0039155190540877
CSF2,0.003835500928513
HYOU1,0.0038262156027975
SSB,0.0038111234061363
TP53INP1,0.0038061580956134
MAP2,0.0037489119979041
AMBN,0.0037486966070227
ITM2A,0.003672085873799
PPP1R14D,0.00364781574929
HJV,0.0036350491179064
CAMLG,0.0036293704966801
ASGR2,0.0035908113787233
BST1,0.0035796696975736
LAYN,0.003567882385533
AGR2,0.0034875652056607
IGSF21,0.0034694663516275
CSF2RA,0.0034514869858449
CBS,0.0034294377418335
CD177,0.0034186539035752
MMP3,0.0034079254746628
TIGIT,0.0033784208289702
HMCN2,0.0033547018315349
POLR2F,0.0032943208271998
MMP15,0.0032695289381923
VIM,0.0032468294295385
EPHA1,0.0031971567571743
EDA2R,0.0031761295813701
CPE,0.0031363616616346
BTD,0.0031289147544552
FGF21,0.0031050659610825
RNF168,0.0030701873135049
MAEA,0.0030627473738335
DEFB4A_DEFB4B,0.0030491728986013
CD200R1,0.003043926531177
RECK,0.0030390411325513
SPAG1,0.0030356722022863
SFTPA2,0.0029888470818005
CRIP2,0.0029876508721271
JAM2,0.002986015978386
TXNDC15,0.0029733951679684
IRAG2,0.0028743147231856
IL17F,0.0028493824152299
DRG2,0.0028232359096092
B4GALT1,0.0028219673556886
SMPD1,0.0028159669347838
COL24A1,0.002814168316497
SLITRK1,0.0027789075705007
AMY2A,0.002738523301147
STX3,0.0027303689716098
PNMA2,0.0027165890814498
HPGDS,0.002709195085732
SCN4B,0.0026763505813811
CLINT1,0.0025907462873052
COL1A1,0.0025281702398402
NOTCH1,0.0025105563544912
MYCBP2,0.0025065707840311
AAMDC,0.0024950856013558
BAX,0.0024525840596756
HEPACAM2,0.0024239311868884
PRC1,0.0024184122620763
NEDD4L,0.0023917592555057
IFNL1,0.0023625122429383
CDH3,0.0023570654645216
ENPP6,0.0023553900731431
CNDP1,0.0023118596192369
FGFBP2,0.0023038089290262
NAGK,0.0022838375298604
SUOX,0.0022803222805726
CBLIF,0.0022731364838398
PHLDB2,0.0022520062280891
MUCL3,0.0022172012455566
DDX58,0.0022089443851191
HIP1,0.0021817634141408
PXDNL,0.002154197447989
FUOM,0.0021512461107253
LRP2,0.0021346310647625
SAP18,0.0021215016501561
MCTS1,0.0020725166442484
MNDA,0.0020671809366335
ADAM15,0.0019886273842736
GP1BB,0.0019784601728842
NME3,0.0019763868781604
OSBPL2,0.0019564378738303
ZPR1,0.0019383192703996
CCER2,0.0019330655076474
KLRD1,0.0019182654367103
EIF2AK3,0.0018726521644286
CASP1,0.0018609003701394
IFIT3,0.0018246377744583
OMG,0.0018139372226461
PAM,0.0017584066361648
OGN,0.0017271570584408
ZCCHC8,0.0016753969985338
DNAJB1,0.0016376269775475
ANPEP,0.0014455314201853
LRFN2,0.0014247180108275
BLOC1S2,0.0011652577216214
VWA1,0.0011337226777193
XCL1,0.0007667817627827
