Pro_code,ImportanceScore
GDF15,0.0595889768898715
IL6,0.0444532102116276
CD34,0.0406769927425531
CXCL12,0.0388496075437549
CLPS,0.0377481122480489
ADGRG2,0.0375807487361557
IGFBP3,0.0336902913735054
VSIG4,0.0313388996455937
CEACAM1,0.0272352329160054
CDHR5,0.0267941382943606
TNFRSF10B,0.0236411950876496
APCS,0.0231957440261549
ADGRG1,0.0231048244494975
TNFRSF17,0.0211853675454398
MZB1,0.0205481860575336
INHBB,0.0197177303842921
MSR1,0.0196347823751627
EIF5A,0.016784820114078
CTSD,0.0164215396489374
CBX2,0.0161566629820409
DSC2,0.0150245020565321
DLL4,0.0139120699330142
NPC2,0.0133145325586594
AGRN,0.0125295324947421
FABP3,0.0114639517471646
CST3,0.0113453624924804
TNFRSF6B,0.0107569691029496
FCRL2,0.010460755286015
KLK1,0.0094565664237693
BLNK,0.0092738092620271
RTN4R,0.0090024878727669
GNAS,0.0087411019261934
CRELD1,0.0086832218385487
GH1,0.0083154918417023
SIGLEC8,0.0081509866052408
PLA2G1B,0.0078889960607315
EPHA1,0.0078326999227896
CRTAC1,0.0070832543248135
PLAT,0.0070208699494873
ESPL1,0.0065600438154321
ALPP,0.0063677905427751
AOC3,0.0063020298464492
APOF,0.0062610330549897
BCHE,0.0059904699077365
CA5A,0.0059567771655851
BGLAP,0.0058427087941205
SERPINI2,0.0055643929640719
KLRD1,0.0049333933318218
CLC,0.0045760462485031
ITGBL1,0.0041244355059382
LTBP3,0.0039008599312622
ACE,0.0038171503627902
CCN1,0.0037849462875102
PVR,0.003739181036451
SELL,0.00358217170904
DAPK2,0.0035799302525899
HNF1A,0.0034842038597618
PLXNB2,0.0034313386797206
SERPINF1,0.003373809975073
TNFSF13,0.0033029212765424
GPA33,0.003283999398195
PLXNA4,0.0032482968126939
UROS,0.0032436599291315
NCAM1,0.0032264426065803
FGF23,0.0032262483384617
ARTN,0.0032144637154959
ANG,0.0032108071604993
COPE,0.0031923052684995
CRIP2,0.0031863717663211
SSC4D,0.0031754714448422
TNNI3,0.0031486731229582
JUN,0.0031480146181254
ATP6V1G2,0.0031465963023045
IL18RAP,0.0031172022498658
ADA,0.003109454188304
CPVL,0.0030924515868151
TBC1D23,0.003059728355996
TEX101,0.0030162495352116
KIAA0319,0.0030042701066514
SLC12A2,0.0029943226945944
FABP1,0.002943369014599
CD276,0.0029008948293098
KIR3DL1,0.002843275537738
COL9A1,0.0028405383061316
XCL1,0.0027594765438268
CCL20,0.0026825814055089
HPGDS,0.0026752271579032
RELT,0.0026635805305588
APOM,0.0026193927968461
CHCHD10,0.0026028226398574
LILRB5,0.0025476680217294
TMPRSS11B,0.0024298279097241
TFRC,0.0024134567852144
PDGFRB,0.0023960144584305
KRT19,0.0023360405079791
CD74,0.0023220747911894
IL13,0.0022857233307028
DPP7,0.0022604948729789
VWC2,0.0022290265900569
TIMP4,0.0022134197535551
FCRL3,0.0021643882058205
ADGRE1,0.0020527564777277
SPRING1,0.0019957517251456
ARMCX2,0.001965341521017
TNFRSF1B,0.0019403710062942
EFNA4,0.0018633682271829
HGF,0.0017797491413644
MCAM,0.0017725475339177
SERPINB5,0.001756215120723
CKAP4,0.0016197165353589
