Pro_code,ImportanceScore
GDF15,0.1103989909654759
IGFBP4,0.105106491920434
EDA2R,0.0579155570858763
CHGA,0.036414995743522
REN,0.0362501489056195
CELA2A,0.0352805068946473
WFDC2,0.0351221597281264
TNFRSF10B,0.0346471084315664
KLK4,0.034314216435306
GAST,0.0335941052372847
C7,0.0255895671312576
PGA4,0.0250971123160145
COL6A3,0.0239432906953091
ANGPT2,0.0215785289617883
LGALS4,0.0206855954521855
VSIG2,0.0204990339225705
CCL20,0.0187974414159743
SDC4,0.0180874195939234
NELL2,0.0179961892633498
NTproBNP,0.017716268183635
ADAM12,0.0161426980802116
TNFRSF1A,0.0147485496330827
LTBP2,0.013102884395674
CILP,0.012134871434811
MSR1,0.0116232219700624
PLAUR,0.0112919361884581
TIMP2,0.0109187511864408
CNTN5,0.0094462420748504
UMOD,0.0092803809348011
CD74,0.0085877934127738
SCARB2,0.0069384364588565
AGER,0.0065865556653269
BCAN,0.0065502064983349
CLEC5A,0.0064362860086798
CEACAM20,0.0060177394235631
TFF3,0.0057199914957141
ITGAV,0.0053662610606145
EGFR,0.0052305180692655
HAVCR1,0.0052236379935202
LRRN1,0.0049429654323745
KLRD1,0.00490766006301
TNFRSF13C,0.0047955251453643
LGALS9,0.0036884434089849
SOST,0.0031797257417986
MZB1,0.0031329048756356
JUN,0.0031044340947797
PRND,0.0030895114554651
ODAM,0.0030401485958079
PRSS2,0.0029526676591189
SPINK6,0.0026913099982206
RBFOX3,0.0026795730352809
CXCL13,0.0026728142212263
CPA1,0.0026189287446122
PNLIP,0.002614915787934
NEFL,0.0025112830239229
DPP4,0.0024769432556656
AGR2,0.0023189222821405
CD300A,0.0022297867814956
INSL5,0.0022148842445398
CPA2,0.0022104852611548
GALNT2,0.0021568248375824
LAIR1,0.0021339254751487
PPY,0.0021265687351313
LCN15,0.0020856353585913
CTRB1,0.0020570876512711
PLA2G1B,0.0020566305349737
JAM2,0.0020500382248643
SFRP1,0.0020224391731627
IL6,0.0018781949946231
LILRB4,0.0018468107644034
DLL1,0.0018304699695329
CCL15,0.0017496311139712
PNLIPRP1,0.0017361748920846
F10,0.0017202288089301
DTNB,0.001686666882679
CTRC,0.001547761455847
EGLN1,0.0014268350176725
NEDD4L,0.0013760399859709
CXCL9,0.0010343380535597
REG1B,0.0010221746925557
