Pro_code,ImportanceScore
IGFBP4,0.0451569374916332
WFDC2,0.0444459321581065
CEACAM20,0.0437683542708563
CNTN5,0.0405153654831008
TNC,0.0381233406750347
TNFRSF1A,0.0374282657880541
TF,0.0313162775236037
BAMBI,0.028681839364698
ADAM12,0.0274405487536544
VSIG2,0.0266962710079403
TNFRSF1B,0.02577747839041
REN,0.0247653816064969
EDA2R,0.0231891860817117
HAVCR2,0.0195785295983635
UMOD,0.0186701017737117
ANGPT2,0.0166075257517692
CDH1,0.0159439420932429
EFNA1,0.0159214214040208
VSIG4,0.0153078231793303
COL9A1,0.0141009869596578
ITGAV,0.0140705205341132
MEGF10,0.0115788047639559
TNFRSF12A,0.0111223066407475
KLK12,0.0108814071712435
AREG,0.0105426846884607
CAPG,0.0105196828969908
KLK4,0.0099511096647654
COL6A3,0.008705169306529
FH,0.0084212336096171
INSL5,0.0083954408024079
IL22,0.0080242340582931
FNDC1,0.0073715048274151
S100P,0.0071639851365282
ITGA11,0.0070797666765602
INPP1,0.0070491083139742
ECM1,0.0070119027833986
LRRC25,0.0066281138088702
CHGB,0.0065485236964948
LAMTOR5,0.0065071624001628
PSG1,0.0060494577120673
SEL1L,0.0059254467021072
TSLP,0.0058383929992939
DSC2,0.0056696651785183
IGF2R,0.0056049624827153
CPA2,0.0051923723210476
UBAC1,0.0050264889333803
ADM,0.0049306626543709
CLEC4D,0.0049027980613177
SEMA3G,0.0045471688339153
LY96,0.0044661007557315
ABHD14B,0.0042015705476983
KIT,0.004075031394495
ENPP5,0.0038454387463614
SFRP1,0.0038178302123295
CST6,0.0037715916561649
PTN,0.0037470803316344
SERPINA12,0.0036956189026164
RBKS,0.0035753093466095
TCTN3,0.0034983974465037
SCGB1A1,0.0034734717221967
GPRC5C,0.0034324287839026
VEGFD,0.0034119110004995
NTproBNP,0.0033427536992849
TFF3,0.0033068253658856
EPHB6,0.0032949148094019
SFRP4,0.003247342232775
CA6,0.0032053408230152
HAVCR1,0.0031659719825363
WFDC12,0.0031530559858903
SLURP1,0.0031362172608885
CNDP1,0.0031258007023225
MN1,0.0031080614998075
FOLR1,0.00309804721219
NELL2,0.0030938785515649
PROC,0.0030809098741403
LHB,0.0030719053958239
OGN,0.0030352698800534
LBP,0.0030166212864884
CD276,0.0030036949581086
NADK,0.0029637613181579
DNAJB1,0.0029507264109705
GFRA1,0.002937898139824
LPCAT2,0.0029055597467033
SPINK2,0.0028754330719388
ESAM,0.0027803042323686
SPP1,0.0027764302116961
FLT1,0.0027677548554627
MICB_MICA,0.0027671219408887
LMNB2,0.0027470235663548
VAMP5,0.0027240824797872
ENTR1,0.0027103023849384
EPHA2,0.0026486185518852
SPINT1,0.0025826315523931
IFT20,0.0025756103318551
IL19,0.0025528001499707
TRIM24,0.0025094619190371
SPRING1,0.0024882284125251
CD28,0.0024805896166389
C1S,0.0024651014584681
QPCT,0.0024577101805341
CFB,0.0024462375861413
TRIM40,0.0024418944604765
CST1,0.0024360868885432
SCGB2A2,0.0024306081397882
FARSA,0.0024228049841188
SEZ6,0.0024176899232641
OSCAR,0.0024014135021384
GOLM2,0.0023995815794688
CHCHD6,0.0023952499178866
KLK13,0.0023319722726127
AGR3,0.0023052367588339
MSLNL,0.002302590378839
MARCO,0.0022766997184559
FABP3,0.0022687128031348
SCARF1,0.0021916066512707
TP53INP1,0.0021893718785156
APOA4,0.0021794689911435
LGALS9,0.0021682010491451
DLL1,0.0021301185872742
NPPB,0.0021092771469714
FCRL1,0.001979876641783
CTSF,0.0019741316399577
PDP1,0.001932951459954
TRPV3,0.0019203226487333
MYO9B,0.0019157332935413
PDCD1,0.0018954106075012
GPR37,0.0018575399061014
SPARCL1,0.0018269478111961
DRAXIN,0.0016678661195373
LECT2,0.0015366642679549
MMUT,0.0013866024717329
