Pro_code,ImportanceScore
XG,0.0489292929292929
DCN,0.0631212121212121
LEP,0.0579494949494949
CHGA,0.0442525252525252
COMP,0.0372020202020202
PRELP,0.0334444444444444
CD276,0.0398080808080808
BRK1,0.0445959595959595
CRTAC1,0.043090909090909
VSIG2,0.0338484848484848
GDF15,0.0386262626262626
SOD2,0.0318080808080808
MYL3,0.0367272727272727
ITGB2,0.0339595959595959
CDCP1,0.0362828282828282
DPP4,0.0346767676767676
NCS1,0.0272828282828282
ADGRG2,0.0339393939393939
LAYN,0.0298080808080807
LTBP2,0.0286161616161616
L1CAM,0.0252828282828282
CCN3,0.0244646464646464
ACAN,0.0297272727272727
MYOM3,0.0204444444444444
GPNMB,0.0226767676767676
RBFOX3,0.0228181818181818
SCARA5,0.0203232323232323
FAP,0.019030303030303
COL6A3,0.0183030303030303
SCRG1,0.0189595959595959
