Pro_code,ImportanceScore
MYOM3,0.051020202020202
COL9A1,0.0533838383838383
CFHR2,0.0493838383838383
ASGR1,0.0362222222222222
CELA2A,0.0502727272727272
PDGFC,0.041030303030303
IDI2,0.0419090909090909
LGALS3,0.0361111111111111
TNFRSF12A,0.0406565656565656
AGR3,0.0392525252525252
HJV,0.0389595959595959
PIGR,0.0353232323232323
AHNAK2,0.0379090909090909
PRELP,0.0362121212121212
ERN1,0.0301818181818181
GOLM2,0.032030303030303
GFRA1,0.026060606060606
CTSO,0.0324747474747474
AMBP,0.0323131313131313
CKAP4,0.031090909090909
PHLDB1,0.0267171717171717
CD302,0.025030303030303
B4GALT1,0.0289494949494949
TNFRSF11A,0.023010101010101
RARRES2,0.0205757575757575
GDF15,0.0221919191919191
HSPB6,0.0248181818181818
TNFRSF10A,0.0229494949494949
TNFRSF10B,0.0198080808080808
EDA2R,0.0141515151515151
