Pro_code,ImportanceScore
NTproBNP,0.2565622782386372
REN,0.2065117538780372
NPPB,0.0479500943434961
F10,0.0400917314760714
FGF23,0.0242258208229675
F7,0.0234268476604162
APOM,0.0227002181378229
UMOD,0.0202080628992373
IGFBP4,0.0190574612642975
CCL21,0.0180686585558446
ACE,0.0174812264125189
PROS1,0.0173412479432876
ADM,0.0168953670589044
AGER,0.0149494243202755
NPL,0.0124094155651483
TNFRSF10B,0.0120907632724873
FABP1,0.011797487405197
ACE2,0.0112027840495375
CD300LG,0.0102926548849721
LGALS4,0.0101360954431691
DPP4,0.0094674622168792
EDDM3B,0.007757470610607
PSPN,0.0074358888212445
GAS6,0.0073370951680158
ANG,0.0071090510601424
KLK3,0.0067627275692072
PON3,0.0064549070460005
CD28,0.0064502517480312
PGF,0.0059785983370658
CNTN1,0.005635210789446
NFASC,0.005299193366638
HMBS,0.0051905452771984
CTHRC1,0.0051071367821812
DLL4,0.0044620748079374
TNR,0.0036693502002129
LRRN1,0.0034867578201452
QSOX1,0.0034053650726019
IGFBPL1,0.0032097416624601
COL18A1,0.0027858016859237
GDF15,0.0027513050334707
ADAMTSL2,0.0026888521247718
CTSF,0.0025847678788944
CLUL1,0.0024580009664187
WFDC2,0.0023742669765237
KCNIP4,0.0022033832558228
CES3,0.0020928729139421
MET,0.0019977490841565
ANGPT2,0.0018742509105535
CLSTN2,0.001862396122262
TNFRSF6B,0.0018404275960156
ANGPTL3,0.0018153320394099
ICAM2,0.0017915735239599
CCL17,0.001787309162089
ADGRG2,0.001756363721112
CHRDL2,0.001685629479747
MRI1,0.0016820889563284
AHSP,0.0016291968037351
NUCB2,0.0015466514802253
TFF3,0.0015239987359157
TIMD4,0.0015197678230097
SMPDL3A,0.0014629624234892
SH3GLB2,0.0014542241267674
S100A14,0.0014522556302039
CNTN5,0.0014290150650733
RNASE1,0.0014050793860839
TNFSF12,0.001393338471302
SPINT3,0.0013337305127164
MEGF9,0.0013292966096503
ZNF75D,0.0013154363977086
CD72,0.0012927223420314
TEK,0.0012836625435358
MSTN,0.001280396523137
AMIGO2,0.0012546451531343
RSPO3,0.0012127232350339
EDN1,0.0011688594963498
VWC2,0.0010701222095311
OCLN,0.0010649462930422
RNASE6,0.0010439207924894
POSTN,0.0010240264597498
TNNI3,0.0010161498353915
AGRP,0.0010111795172819
GGT5,0.0009421828523638
AMY2A,0.0008945989025839
CCNE1,0.0008753825654995
VMO1,0.0008579094476448
CRTAM,0.0008577541100215
CD300LF,0.0008527868943045
MAEA,0.0008165133217927
HLA-E,0.0007834493873476
XPNPEP2,0.0007721384572208
EGFL7,0.0007069742521935
SCARB2,0.0006834212557504
PQBP1,0.00066909874154
FAP,0.0005647590850382
DYNLT1,0.0005556862807964
BPIFA2,0.0005443112361462
CD101,0.0004541319234208
