Pro_code,ImportanceScore
GDF15,0.0447602503580972
NTproBNP,0.0434428611131311
CD274,0.033483104951705
LAIR1,0.0334083099997369
EFNA1,0.0327841027650559
PALM3,0.0308805884347609
NEFL,0.0306255995014661
LRRN1,0.0288651920215417
HLA-E,0.0288392792048083
PNLIPRP1,0.0272077581660104
KLKB1,0.0256380462658256
FGF5,0.0225171118038144
TFF3,0.0189071023900121
TSLP,0.0169665453621828
PILRA,0.0152460400647476
ITIH3,0.0148716367602954
CCL25,0.0139526932575124
GUCA2A,0.0138406839923999
ADGRG1,0.013543371424177
KIT,0.0133701807034063
EGFR,0.0126233442308586
RGMA,0.012425084251472
GRP,0.0124086450215828
EDA2R,0.0115512177187428
ODAM,0.0111292097561897
AOC1,0.0099830295000266
ZP3,0.0097310947314254
KLK4,0.0096935020131895
APOF,0.0096368332871641
NTF4,0.0096278885503674
CAMKK1,0.0088009749691898
NT5E,0.0087395911580429
BATF,0.0078497219940269
GBA,0.0070010906347913
LGALS4,0.0069674979443121
TAP1,0.0069255178792
TIMD4,0.0069088027437572
CD302,0.0068664979349098
CA11,0.0066832656805934
NOMO1,0.0063953904635559
AKR1C4,0.006091232669257
CNTN5,0.0060737849661028
PNLIP,0.0057027563349797
DCTN2,0.0056930474285687
TNFRSF19,0.0056812387255034
REST,0.0056783868985149
CD160,0.0056480781313881
PTGR1,0.0056298137618416
CLEC4G,0.0051868526408806
MERTK,0.0051203098446206
SMPDL3A,0.0048856030871518
HNF1A,0.0048664061217115
RASA1,0.0047195143039243
DEFB4A_DEFB4B,0.0044749385733541
SCGB3A2,0.0043581324473079
COL9A1,0.0042778013811843
TCTN3,0.0041357867141882
F9,0.0040639143370284
SNED1,0.0039969869329351
KLK13,0.0039667424689328
CTSC,0.003911355336778
CEACAM1,0.0038994457563284
CCL15,0.0038571521195744
CASP9,0.0038050116233145
AGER,0.0037940217737384
PMCH,0.0037365652043058
TIE1,0.00372343829801
CHRDL1,0.0036662830033486
CLEC14A,0.0036576998999888
TSPAN1,0.0035505921545582
FBLN2,0.0035169133318864
IL5RA,0.0034304762202037
LRRC37A2,0.003344035342768
CHGA,0.0033412034902302
WFIKKN1,0.0032934064956951
CD34,0.0032151201037381
BCAT1,0.0031861350011743
CAT,0.0031485063278099
CHEK2,0.0031403527724188
ATP1B4,0.0030958741883794
CD207,0.0030882006182288
THAP12,0.0030787364751557
CHL1,0.003053025905807
EPHA10,0.0030160409131003
ALCAM,0.0029520772671682
ID4,0.0028696863128554
COCH,0.0028424113375386
REN,0.0028412636297807
CEP290,0.0028327321620807
GAST,0.0027931492783153
IL7R,0.0027589481138859
JCHAIN,0.0027450238552409
NAGPA,0.0027381966540333
MEGF9,0.0027231302884727
AMBP,0.0027174114117118
CD300E,0.0027031984544321
FSHB,0.0026735568314008
CD36,0.0026597378708311
ADGRV1,0.0026406082251819
ITGA2,0.0026393691667765
GBP2,0.0026154365919826
AMY1A_AMY1B_AMY1C,0.0026101162802695
SCARB2,0.0025915205314896
GGT1,0.0025869452912011
CD84,0.0025699274049447
ISM2,0.0025587986217612
KLK12,0.0025577925962638
CXCL5,0.0024808930289442
OSBPL2,0.0024563874943093
ASGR1,0.0024243450333758
ARHGEF5,0.0024150588163088
CAPS,0.0024084414342002
HS3ST3B1,0.0024030979940669
CRELD1,0.0024021551830997
CARHSP1,0.0023869157527168
ITGA11,0.0023859182130522
TCL1B,0.002338192533165
CANT1,0.0023168347068348
SCG3,0.0022590877332071
SNX18,0.0022533850039373
FUT3_FUT5,0.0022037357967584
BPIFB1,0.0021871010923982
ALDH3A1,0.0021844483277204
NTRK2,0.0021777237259964
STC1,0.0021520297045748
SDK2,0.002114016355873
MATN3,0.0020787090393423
IDO1,0.0020746138653761
ACADM,0.0020067974835089
SIGLEC5,0.001893480124749
OMP,0.0018800710075002
BMPER,0.0018279468082789
SPINT1,0.0018030480332178
NPPB,0.0017012908815327
ADAM15,0.0016979086260413
SPINK6,0.0016685107521757
IL33,0.0016608272507222
TOR1AIP1,0.0015582579847143
TPP1,0.0014907425424037
COQ7,0.0013859527166009
SMOC2,0.0012014576456687
