Pro_code,ImportanceScore
COL6A3,0.0614324298274622
GDF15,0.0542239230215815
REN,0.0485193865544076
ADM,0.0470114712056887
IL22,0.0365860571152089
FCRL5,0.0355935941547455
NCAN,0.0353929343318989
IL15,0.0336543696396415
GPC5,0.0330896392891812
AGER,0.033021392174974
PRAP1,0.032753715557523
AREG,0.0290358662500637
CTHRC1,0.0264268979761855
IL6,0.0247620015287647
DPP6,0.0242496214353489
CNTN5,0.0239055867450167
BCAN,0.0233758294790933
GFRA3,0.0202588879635196
TNFRSF10A,0.0179739147814387
VSIG4,0.0172545494415766
ANGPT2,0.0171724244105144
PRRT3,0.0146807553802606
INSL5,0.0146044095591532
KLK4,0.0143600823220596
CHCHD10,0.0130964767889413
PSPN,0.0124936998832714
MXRA8,0.0119540336657482
LRRN1,0.0115536070349196
FCRL2,0.0111597084015928
ODAM,0.0106503311078282
CD74,0.0100190049810114
HSPB6,0.0098749412937567
ADAM12,0.0094547146000212
TFRC,0.009367682613604
IL1RN,0.0079840969078498
CD276,0.0076293167062819
SLITRK1,0.0074372173848472
EPO,0.0066003319320524
PAMR1,0.0065367270966894
GFAP,0.0060562608942594
KYNU,0.0058208179401545
PPT1,0.005674612546378
PRSS8,0.0056469349970828
FCGR2B,0.0050298064970525
CPM,0.0048487847595176
CNTN1,0.0045958608476695
CLEC4C,0.0038982118553746
HPGDS,0.0037986081725654
TNFAIP2,0.0034567950551503
CD8A,0.0033848232974364
SNAP25,0.0032654046856309
ALDH3A1,0.0032588804170299
ACY3,0.0032512557420962
MUC13,0.0032229713521011
MYOC,0.0031524888578932
ADAMTS8,0.003098380428765
TIMP4,0.0030936620687296
CRLF1,0.0029973882108622
B4GAT1,0.0028561831694761
CLMP,0.0028555055467156
ADGRG2,0.002779332080837
DEFB4A_DEFB4B,0.00275827259905
EIF2S2,0.00274270180401
HSPB1,0.0027359225989637
SOX9,0.0026877388922099
SLC44A4,0.0026833980363414
VSIG2,0.0026046248580924
RGMA,0.0025957774670372
HIP1R,0.0025677037472733
CSF3R,0.0025562528139435
CORO6,0.0025545273859786
CCAR2,0.002459129293901
ADA2,0.002429374304586
CTSL,0.0023621500402888
KRT19,0.0022511159616562
ADGRD1,0.002096868928399
TFF3,0.0020224101660466
HMOX1,0.0020117571357627
TNFSF12,0.0019714957636654
IFNL1,0.0018378364651427
NAAA,0.0015421821263721
TDO2,0.0013341596447748
