Pro_code,ImportanceScore
EDA2R,0.0723873877605068
NPTX2,0.042381592238916
LMNB1,0.0318523900014865
VEGFA,0.0300097673162923
IL10RA,0.0269036978253636
TARM1,0.0257905686884145
LTBP2,0.0252972555130035
HAGH,0.0242158494672252
TGM2,0.0236898045900602
LEFTY2,0.0231806728902693
NFX1,0.0220515836478802
POMC,0.0214181290861095
FETUB,0.018343908058577
NTRK3,0.0164149908966925
CDHR5,0.0159703246976476
OPTC,0.015341322248515
FLT1,0.0149411020217119
IL5RA,0.0138500687336834
CEACAM5,0.0132724163882963
CCL18,0.0128613741668039
FGF9,0.0124788643369833
RELT,0.0113737262719447
ZNF830,0.010961731930398
NCS1,0.0104492433394665
CD300C,0.0102907933952697
CXCL17,0.0102548767684356
PLTP,0.0101919885558338
CTSH,0.0094439271690436
PODXL2,0.0093395713589155
IGFBP7,0.0091815428380278
CLEC4M,0.0091103137344634
EFNB2,0.008845359782688
PTPRZ1,0.0087901109820641
IL17D,0.0083951338048843
SNAP25,0.0078399719717485
PM20D1,0.007651866937349
CR2,0.0073208587680818
CD83,0.0072380308231266
CCS,0.0070456707852727
CD93,0.0070039999999289
HNF1A,0.0064845134807677
DGKZ,0.0064767800438479
LRP1,0.0064302771157989
NOS3,0.0058421402070061
CCL8,0.0057671207561573
ENSA,0.0056993070747304
FGF23,0.0055529667330952
MZB1,0.0054251589128513
KRT17,0.0053946816162863
IDUA,0.0053482919781041
RGL2,0.0053047726444274
ARNT,0.0052714157555617
BHMT2,0.0051971768211839
REN,0.0048089972448949
GGH,0.0047644545020088
SIGLEC5,0.0043449033998887
WFDC2,0.0042150113824716
CFHR2,0.0042109140800459
DCN,0.0041684311748376
MTSS1,0.0041637227801579
XPNPEP2,0.0041006631372783
CRYBB2,0.0040909380519282
DNAJC21,0.0040844861134137
MLLT1,0.0040044152749323
TSLP,0.0039688462042823
PRG3,0.0039651566411824
IL1A,0.0039502199755691
HS6ST1,0.0037999882003025
B2M,0.0037651956262688
KLK4,0.003673545111735
HDAC8,0.0036280110768082
TIGAR,0.0035648723253331
LTO1,0.0035317062718475
LRIG3,0.0034890956228325
LTB,0.0034634644946023
CAPG,0.0034503435249318
FAM20A,0.0034222377737191
CXCL9,0.0034076212639384
C2,0.003397466367603
LCP1,0.003365591179606
TPMT,0.0033627363898125
FGF5,0.003323228795206
PDE1C,0.0032781223908753
ATF2,0.0032365464519774
TNXB,0.0032177835420421
LAMP3,0.0032147231896445
S100P,0.0031810696004257
PAPPA,0.0031403498551209
VIT,0.0031128988543955
ANGPTL1,0.0030957652038694
REG3A,0.0030945486464774
CD274,0.0030875997498869
CARHSP1,0.0030793428808818
KLRD1,0.0030784088536415
GFAP,0.0030761346510816
ANGPTL3,0.0030743172922259
HS3ST3B1,0.0029845066644838
APOBR,0.0029193553695729
CFHR5,0.0028848511762279
MEPE,0.0028645604643313
GBA,0.0028557179893665
EDNRB,0.0028320919813753
MMP13,0.0028310044429608
ELN,0.0027924211087022
CEP152,0.0027423529190513
FCER2,0.0027171213493725
NFASC,0.0026064253417074
ACTA2,0.0025661674352571
NTRK2,0.0025561939297541
CALCA,0.0025418368663679
RAC3,0.0025214691881385
CPOX,0.0023779710848377
IL2RA,0.0023732264641765
SIGLEC15,0.0023670501421558
EIF1AX,0.0023470183241049
PDCL2,0.0023467507728876
CAT,0.0022875260494635
AP2B1,0.0022556222121344
ENPP7,0.0022464729636569
UBE2Z,0.0022402770335581
PTPRN2,0.0022275660790548
LAIR2,0.0022122741273922
NRTN,0.0021695710556713
DDI2,0.0021618461222386
SPESP1,0.0021319071877065
ITGAM,0.0021314012556238
TNFSF13,0.0020955496235763
GLRX,0.0019183840602734
SNU13,0.0018793861183589
RANBP1,0.0017891935221201
CD226,0.0017340811052818
CHMP1A,0.0017013959818753
IL10,0.0016508941172296
PARD3,0.0015865710742564
NPTXR,0.0015657638684787
PALLD,0.0015215668078337
SPINT2,0.0014288081559677
PRELP,0.0011818546947708
PTK7,0.0009301471471755
PRDX2,0.0008935785402797
