Pro_code,ImportanceScore
FZD8,0.0548181818181818
MDGA1,0.0416363636363636
NTRK3,0.0325252525252525
NCAM1,0.0559898989898989
CEP20,0.0517777777777777
CEBPB,0.0535050505050505
GCNT1,0.0433030303030303
RSPO1,0.0418787878787878
LEFTY2,0.0386161616161616
BOC,0.0283434343434343
PAEP,0.0363535353535353
FAP,0.034
B2M,0.0301515151515151
CLEC5A,0.0331818181818181
ADAM15,0.0331616161616161
ADAMTS8,0.036050505050505
CHRDL2,0.0311111111111111
MCAM,0.0237272727272727
WFIKKN2,0.0308181818181818
PPM1A,0.0325050505050505
CNTN4,0.0282424242424242
CCL16,0.0288888888888888
AOC3,0.0255454545454545
CBLN4,0.0208282828282828
PLTP,0.0286666666666666
NOTCH3,0.0246969696969697
RGMA,0.0215858585858585
ENG,0.0205757575757575
MYOC,0.0229292929292929
CNTN1,0.0145858585858585
