Pro_code,ImportanceScore
RSPO1,0.0405735368435228
ADAM15,0.0370205927656137
ACAN,0.0323283130228657
ITGAV,0.0307134350746442
PLTP,0.0299890590714816
RET,0.028593504300467
SCARF2,0.0269706905884802
CD5L,0.025814779217614
FETUB,0.0242028259293467
AOC1,0.0233387652403248
COL9A1,0.0226167797722782
THRAP3,0.0206814206246657
CHGB,0.0200100818990797
VWC2L,0.0192423743853261
TEF,0.0185047695571604
ZP4,0.0182063589380215
ENPEP,0.0156078732790823
PRELP,0.0153613142661616
WDR46,0.0153234334208097
KDR,0.0150988858525976
ACTA2,0.0147937112088939
GNGT1,0.0144163795594017
PON2,0.0141569819114727
MTPN,0.0138709851968526
BAG3,0.0123883545356402
S100A4,0.0122052823716604
L1CAM,0.0114336428199382
CD93,0.0111303766224663
CD99L2,0.0106571256889383
LTA4H,0.0101047401222061
PLB1,0.0093076859095047
EPHX2,0.0084145599417885
GHRHR,0.0077612738330139
PTN,0.0072184342327805
RETN,0.0070852581163687
TADA3,0.0068908478554173
SUSD2,0.0068695865690014
ADIPOQ,0.0066439702496299
NHLRC3,0.0066135068710505
AGBL2,0.0065617758113582
ANXA5,0.0061657636921554
SSB,0.0061472716934976
NEFL,0.0061175995458917
LEP,0.0055315358337665
UMOD,0.0053690517496949
PSPN,0.005341468051325
NTRK3,0.0048054568151479
NPTX2,0.0046943139644434
EDA2R,0.0046691931938236
EBI3_IL27,0.0046528186995919
LCN2,0.0046190436958592
CD1C,0.0045349108816123
LEG1,0.0043297647215964
TSPAN7,0.004128391984687
MMP3,0.0039860057974071
ANGPT2,0.0039614155181343
MMP13,0.0038564241056381
PZP,0.0037995200885291
TSPAN1,0.0037796805702224
NOS2,0.0037701657177528
PRDX1,0.0036971849401231
ASS1,0.0036825132987116
QPCT,0.003677363439748
F2,0.0036588723960872
CLEC6A,0.003634994425263
IGFBPL1,0.0036272538415661
LAMB1,0.0035875852422824
CLEC7A,0.0035871928962812
LYPD3,0.0035193985462716
TFPI2,0.0035121721952852
MDGA1,0.0034482555654968
SDHB,0.0034186852665223
BCL7A,0.0034176688158241
GPR101,0.0034161875596556
CSF2RA,0.0033897132133669
SUMF1,0.0033860240475895
PLA2G7,0.0033780516385402
PNLIPRP2,0.0033510223970007
ICAM4,0.0033488945597267
EDIL3,0.0033040996316663
ERC2,0.0032798401854932
C19orf12,0.0032674698555004
CDON,0.0032334805995748
CRLF1,0.0032133429341794
LAG3,0.0032077071240245
OBP2B,0.0031661003140878
IL13RA2,0.0031504518835623
DCTN2,0.003139417837771
BMPER,0.0030718279526312
LRFN2,0.0030668040194312
SLIT2,0.0030464030212471
BTD,0.003034185739609
WFDC2,0.003027648551728
NOP56,0.0029984417089238
CNTN3,0.0029960536981535
FOLH1,0.0029891723915616
PER3,0.0029715136935779
C2CD2L,0.0029447953176567
VIM,0.0029420430308559
TMED10,0.0029170131319216
XPNPEP2,0.0028812854893193
TMEM132A,0.0028573449056542
LILRA4,0.00280397696225
IL1RL1,0.0028016973288368
WFIKKN2,0.002792205297197
OLFM4,0.0027621018462951
IL13,0.0027355325202124
SNED1,0.0027073796551993
TIE1,0.0026969771490822
BPIFB1,0.0026748557764783
TFRC,0.0026735558643112
THOP1,0.0026649854598656
LTA,0.0026532755072055
CDH4,0.0026443389105944
GDNF,0.0026187118921958
ITGAM,0.0025996990260263
TNXB,0.002596475761036
AKAP12,0.0025828549607461
IGF2BP3,0.0025536331866984
CR2,0.0025469208203267
GABARAP,0.0025054847022536
NDUFS6,0.0024374567655457
CTSC,0.0024115479530369
DDT,0.0023753817389329
PRAP1,0.0023489922822351
RUVBL1,0.0022945740086777
PCARE,0.0022934043601792
CD200R1,0.0022877002994502
SERPINF1,0.0022576620908547
CCL24,0.0021475566231589
TMEM25,0.0021357969096828
RAPGEF2,0.0021130681219115
CTSL,0.0021124604060375
DCUN1D2,0.0020569119033223
LRP1,0.0020353989098883
LRP2BP,0.0020054582948113
NPR1,0.0019808509545947
CAT,0.001920156487454
B4GAT1,0.0017424121622323
