Pro_code,ImportanceScore
GDF15,0.0799068835382478
TGFBR2,0.0473198117939039
WFDC2,0.0458227223081909
NPPC,0.0387002149853607
NPR1,0.032437970349993
CKAP4,0.0319349482088537
TNFRSF19,0.0309849131249158
JAM2,0.0302712466088444
NPDC1,0.0259482362005625
PLAT,0.0241030755043916
SIRPB1,0.0217539879254599
TNFRSF17,0.0176359847452119
CEACAM8,0.0173816140829868
CALB1,0.0158360013654329
BSG,0.0141215446609047
PLXNB2,0.0133660306709254
OGN,0.0133537886340288
ROR1,0.0122734883092553
EFNA1,0.0119530541033514
CA12,0.011479558311626
LAYN,0.0108104666159526
CCL25,0.0105093964349135
TSC1,0.0101088764068091
IFNGR2,0.0085542587833151
MELTF,0.0084043618270297
NELL1,0.0079537191054425
PTH1R,0.0078455968404844
AMOTL2,0.0077514552085387
ADAM12,0.0073917350691367
CLEC1B,0.0073611835699918
NDUFS6,0.007314767532494
CALCA,0.0071871575017314
GFRA2,0.0070921657793211
CRISP2,0.0069473212029212
FGF23,0.0065793397140357
LRRN1,0.0063226269442159
MANEAL,0.0063215982692021
CALB2,0.0061398638440279
DLL1,0.0059816230436143
LYAR,0.0059678565996577
AKR1C4,0.0059184894379947
PIK3IP1,0.0055205166625795
SERPINA3,0.0055180291498912
AMBN,0.0053547834005836
GPC5,0.0052880533340634
NDRG1,0.0052543651516809
LPA,0.0051899697764435
HJV,0.0050683157724199
RNASET2,0.005050548346232
CST1,0.0045392878619058
FAM3B,0.0043842590396139
CSF3,0.004341840351256
FGFBP2,0.0042819788713844
IDI2,0.0042795541877869
OPTC,0.0042409367840222
FAP,0.0041532384076232
RELT,0.0040826300881789
GUSB,0.0040184180719652
SSC5D,0.0039410603968445
ADGRG1,0.0038220144780148
CCN1,0.0037542598850383
IL31,0.0037393157681016
MICB_MICA,0.0036987626775184
LIF,0.0036743179319604
BTN2A1,0.0036409818679597
PNLIPRP1,0.0036198829437573
IL1B,0.0035672841385069
CLINT1,0.0035230610740596
RBP7,0.0034802587075782
CTRC,0.003477540911364
TFF3,0.0034101771323021
LCN2,0.0034091656244162
ITGB2,0.0033443741124373
PSMG4,0.0033400403515232
CCN3,0.0032829346151499
IMMT,0.0032551493448133
BAMBI,0.0032366293011165
GABARAP,0.0032267054135932
MZT1,0.0031807426023086
MYOM2,0.0031722127950982
FABP2,0.0031312035905607
PFDN4,0.0031273179533008
PRKCQ,0.0030578237345992
CRLF1,0.0030439921038566
SIGLEC15,0.0030428942234337
FCER1A,0.0030394080129046
CFB,0.0030334780109942
APOA4,0.0030186365908933
LUZP2,0.0030155803537923
SPP1,0.0029340532546126
COL6A3,0.0029119953452241
NPTN,0.0029065395318956
RET,0.0028885546095674
CD82,0.0028600079860863
EGFLAM,0.0028480881598431
CXCL13,0.0028145908595004
FAM3C,0.0027418097908765
CILP,0.0027140834250366
AMIGO2,0.0026913666419665
CD99L2,0.002666529337581
LEFTY2,0.0026613614856232
AMN,0.0026585779800207
CD28,0.0026440471987916
GAS2,0.0026199421699021
CLEC5A,0.0026104169311428
S100G,0.0024961860018132
PTPRM,0.0024688405007161
CYTL1,0.0024372740524528
IL33,0.0024289391382471
GBP2,0.0024210074699209
CLEC4C,0.0024204979893073
CKMT1A_CKMT1B,0.0024135678108315
SLK,0.0023867287618139
HK2,0.0023768860634884
SCGB1A1,0.002355005038189
WDR46,0.0023265893428569
REN,0.002315654046046
ATP6AP2,0.0023039175538522
HSP90B1,0.0022646438645639
PHLDB2,0.0021842110569418
PLA2G2A,0.0021541950180215
SPTBN2,0.0021429491241308
ANG,0.0021176429662847
ART3,0.0021115475845872
GALNT10,0.0021039565574315
DNAJA2,0.0020097993528507
RBKS,0.0020023626453581
CEACAM21,0.0019686969961962
AARSD1,0.001826175297312
EPS8L2,0.001821087653537
AOC1,0.0017707213845663
PGA4,0.0017545889350004
C7,0.0016852671806028
CXCL11,0.0015898729423247
DOK1,0.0015749772400279
TREML2,0.001446186708432
IL7R,0.0014358629234967
GMPR,0.0014254103705035
TNFRSF1A,0.0013798245119471
GH1,0.0013415675481728
MOG,0.0012416807059144
SCN2B,0.0012062143943874
FAM3D,0.0011359459842026
MCAM,0.0010586855072879
