Pro_code,ImportanceScore
TFPI,0.0547777777777777
MZB1,0.0663333333333333
HMOX1,0.066060606060606
FUT3_FUT5,0.0504545454545454
SSC5D,0.0548181818181818
TREML2,0.0547373737373737
CXCL16,0.0324040404040404
F9,0.0401010101010101
HS3ST3B1,0.0326969696969697
B2M,0.0396363636363636
LIF,0.0316565656565656
KLRK1,0.0344343434343434
HBZ,0.0386464646464646
GDNF,0.0328080808080808
GLA,0.0349393939393939
FCGR2B,0.0283131313131313
DNER,0.0294949494949495
PSG1,0.030080808080808
KLRB1,0.0314444444444444
SEMA7A,0.024010101010101
CA4,0.0254242424242424
CD160,0.0248989898989899
PRL,0.024010101010101
PDCD1,0.020070707070707
TDO2,0.0232323232323232
CD27,0.016060606060606
MEGF9,0.0167575757575757
TNFRSF17,0.0130909090909091
KLK14,0.016060606060606
CRTAM,0.0125454545454545
