Pro_code,ImportanceScore
PADI4,0.0806324627049447
CCL7,0.0770142666766354
TNF,0.0713634301228894
S100A12,0.0693857807677502
FOLR1,0.0488202564489181
CXCL13,0.0464775844505167
RRM2,0.044242304014584
CHGA,0.0413357428036659
TNFRSF4,0.0347100869644404
POMC,0.0346543965347391
GDF15,0.0338275361508383
COL9A1,0.025067057409031
PDCD1,0.0241575025472185
IL6,0.0238956572201783
CRTAC1,0.0209459771980158
ADIPOQ,0.0195465398635219
TNFSF13B,0.0190276588185814
EGFR,0.0171003841092509
PZP,0.0156403491414357
CLEC5A,0.0148944347138795
PAPPA,0.0128033824360309
TNFRSF1B,0.01225388028321
SH2D1A,0.0112200937286508
TRIM21,0.0107736985099437
TMSB10,0.00949408203627
ENPP5,0.009012262555409
CHAD,0.0080182481925745
VCAN,0.0070519199190847
SCGB3A1,0.0069347689538838
TNFRSF8,0.0065476866307314
MSR1,0.0060871616675775
MLN,0.0060335988880823
TEX101,0.0057846309070124
EPO,0.0053719177035033
IL10,0.0051057998211328
BMP4,0.0047007282700501
IL15,0.0046349319584801
CA14,0.0045541080133192
CD300E,0.0045098778359406
TCL1A,0.0044979269699597
CXCL16,0.003806425813854
OXT,0.003258925463058
LGALS9,0.0032397051948087
SERPINA3,0.0031457763027496
LRCH4,0.0031351504216284
PSG1,0.0029308759074947
AGRP,0.002756096641231
CELA2A,0.0027250382620996
ENDOU,0.0025537632853297
FCRL2,0.0025320294021961
CD1C,0.0024358024104728
PRDX1,0.0024354937096694
GAL,0.0023695275592363
PLA2G2A,0.0023695228558008
MMP3,0.0023565297646664
LEP,0.0022928517177288
GZMA,0.0022547125670499
AHNAK2,0.0022522936685181
MMP7,0.0021621155124699
NMNAT1,0.0021408002127963
SPP1,0.0020766511069371
SCPEP1,0.002065950209301
ICAM1,0.0020545442809524
CD80,0.0020458299006807
FABP4,0.0020361170366326
ALDH3A1,0.0019796910630467
SPINK6,0.0019113043749903
CCN3,0.0018044399708233
MYL3,0.0017451497336171
SPINK5,0.0017102215539742
MPO,0.001618097958177
PRTG,0.0016173600877743
SORD,0.0015939637285775
VSIG10,0.0013246053053119
TOP1MT,0.0013067676153291
CD22,0.0012461811459762
GSR,0.0012272491884462
MYO9B,0.0012224992984157
RALY,0.0011455109309167
IL3RA,0.0011272643260881
HNRNPUL1,0.0011077540366602
DKK1,0.0010683480788534
ADAMTS13,0.0009953291180781
XRCC4,0.0009435532991737
CCDC80,0.0008729591161881
CLEC4G,0.0008691069203342
