Unnamed: 0,Log10PValue,Tissue.Specific.Genes,fold.change,samples,Tissue
Adipose Tissue,1.90455835054925,12,2.58036536862683,610,Adipose Tissue
Adrenal Gland,0.171570836779172,10,1.07797415880955,159,Adrenal Gland
Artery,0.196236353912243,9,1.13734565863321,747,Artery
Bladder,0.0,0,0.0,13,Bladder
Brain,0.140837497264419,24,0.978847637353973,1401,Brain
Breast,0.0029425022148244,7,0.682887667825431,215,Breast
Cervix Uteri,0.171570836779172,6,1.10011112814224,11,Cervix Uteri
Colon,2.62104218766196,10,3.76796472024255,377,Colon
Esophagus,0.417572316806328,10,1.39223103222521,790,Esophagus
Fallopian Tube,0.196236353912243,5,1.26761776082234,7,Fallopian Tube
Heart,0.633059634541898,15,1.4529769616973,486,Heart
Kidney,0.872096888842546,11,1.78568762828886,36,Kidney
Liver,0.906578773809707,13,1.73915505165593,141,Liver
Lung,8.58320408878859,30,3.93649988344828,374,Lung
Muscle,0.196236353912243,8,1.21691305038945,469,Muscle
Nerve,0.196236353912243,5,1.23707275453746,331,Nerve
Ovary,0.456014599518492,7,1.57964674810168,110,Ovary
Pancreas,0.140837497264419,5,1.02677038626609,199,Pancreas
Pituitary,0.0015387137369611,4,0.562613910282792,126,Pituitary
Prostate,0.12056343452218,3,0.933427623878268,121,Prostate
Salivary Gland,2.60575878834534,14,2.86065381248265,71,Salivary Gland
Skin,0.633059634541898,14,1.4781270342134,659,Skin
Small Intestine,3.77911447893417,17,3.30902304578647,103,Small Intestine
Spleen,10.8001202489311,43,3.56057472656791,118,Spleen
Stomach,0.0916197189536987,3,0.838179907155995,206,Stomach
Testis,0.0,6,0.334362133926544,203,Testis
Thyroid,1.2033533193777,9,2.29588409351425,360,Thyroid
Uterus,0.140837497264419,1,1.24457016517102,93,Uterus
Vagina,1.33571810664259,7,2.87495708154506,95,Vagina
