Unnamed: 0,Log10PValue,Tissue.Specific.Genes,fold.change,samples,Tissue
Adipose Tissue,0.197723763792478,4,1.43148840688108,610,Adipose Tissue
Adrenal Gland,0.0,3,0.538217097862767,159,Adrenal Gland
Artery,0.0,2,0.420637362637363,747,Artery
Bladder,0.0,0,0.0,13,Bladder
Brain,0.061792230134488,13,0.882419492126543,1401,Brain
Breast,0.188072465984643,7,1.13652019002375,215,Breast
Cervix Uteri,0.188072465984643,4,1.22059948979592,11,Cervix Uteri
Colon,0.892990305129246,5,3.13548492791612,377,Colon
Esophagus,0.313657725707905,7,1.62194915254237,790,Esophagus
Fallopian Tube,0.188072465984643,3,1.26580687830688,7,Fallopian Tube
Heart,0.200886957530284,8,1.28969002695418,486,Heart
Kidney,0.313657725707905,6,1.62103331451158,36,Kidney
Liver,0.313657725707905,7,1.55855048859935,141,Liver
Lung,0.901243625612907,10,2.18382017343679,374,Lung
Muscle,0.055464481849192,3,0.759484126984127,469,Muscle
Nerve,0.061792230134488,2,0.823537005163511,331,Nerve
Ovary,0.200886957530284,4,1.50227629513344,110,Ovary
Pancreas,0.098006354836878,3,1.02530357142857,199,Pancreas
Pituitary,0.188072465984643,5,1.17043786692759,126,Pituitary
Prostate,0.098006354836878,2,1.03566017316017,121,Prostate
Salivary Gland,1.80797124717293,10,3.40067519545131,71,Salivary Gland
Skin,0.253376336179847,8,1.40572897539479,659,Skin
Small Intestine,0.427057934490095,6,1.94370345294516,103,Small Intestine
Spleen,1.80797124717293,17,2.34276353686636,118,Spleen
Stomach,0.0762626275671738,2,0.929980563654033,206,Stomach
Testis,0.0,5,0.463728435743361,203,Testis
Thyroid,0.427057934490095,5,2.12278172138421,360,Thyroid
Uterus,0.188072465984643,1,2.07132034632035,93,Uterus
Vagina,0.901243625612907,5,3.41767857142857,95,Vagina
