Unnamed: 0,Log10PValue,Tissue.Specific.Genes,fold.change,samples,Tissue
Adipose Tissue,0.653925646398794,5,2.28776686031222,610,Adipose Tissue
Adrenal Gland,0.0,2,0.458754299548173,159,Adrenal Gland
Artery,0.321812485103065,6,1.61340358271865,747,Artery
Bladder,0.0,0,0.0,13,Bladder
Brain,0.0,8,0.694281581441326,1401,Brain
Breast,0.0,2,0.415167192702741,215,Breast
Cervix Uteri,0.307362368197771,4,1.56058382257012,11,Cervix Uteri
Colon,1.81197746268003,6,4.81060701269323,377,Colon
Esophagus,0.307362368197771,5,1.48123210277842,790,Esophagus
Fallopian Tube,0.0,0,0.0,7,Fallopian Tube
Heart,0.321812485103065,7,1.44280391143276,486,Heart
Kidney,0.936982203747041,7,2.41797967765806,36,Kidney
Liver,0.653925646398794,7,1.9926672913599,141,Liver
Lung,1.20897004774476,9,2.51288896669438,374,Lung
Muscle,0.321812485103065,5,1.61838322340605,469,Muscle
Nerve,0.270660702040418,3,1.57938603729988,331,Nerve
Ovary,0.253958383333032,3,1.44053891314165,110,Ovary
Pancreas,0.0,1,0.436963470319635,199,Pancreas
Pituitary,0.0,2,0.598580096328267,126,Pituitary
Prostate,0.0,0,0.0,121,Prostate
Salivary Gland,0.321812485103065,4,1.73915809082442,71,Salivary Gland
Skin,0.153631921568638,5,1.12329940956204,659,Skin
Small Intestine,1.96499846977265,9,3.72765045770304,103,Small Intestine
Spleen,3.30154974323649,18,3.17150905877154,118,Spleen
Stomach,0.136886753958836,2,1.18901624576771,206,Stomach
Testis,0.0,2,0.237157921476057,203,Testis
Thyroid,1.20897004774476,6,3.2568705862333,360,Thyroid
Uterus,0.268076992376756,1,2.64826345648263,93,Uterus
Vagina,0.936982203747041,4,3.49570776255708,95,Vagina
