Unnamed: 0,Log10PValue,Tissue.Specific.Genes,fold.change,samples,Tissue
Adipose Tissue,1.32899053983438,9,2.36702807437028,610,Adipose Tissue
Adrenal Gland,0.498122040740745,10,1.31846708137861,159,Adrenal Gland
Artery,0.498122040740745,9,1.39108419139915,747,Artery
Bladder,0.0,0,0.0,13,Bladder
Brain,0.826971311600732,27,1.34687893407564,1401,Brain
Breast,0.498122040740745,11,1.31251675488307,215,Breast
Cervix Uteri,0.810586634740922,8,1.79405699287589,11,Cervix Uteri
Colon,1.95864889568939,8,3.68686941655229,377,Colon
Esophagus,1.03693095366027,11,1.873117131545,790,Esophagus
Fallopian Tube,0.498122040740745,5,1.55041962347299,7,Fallopian Tube
Heart,1.8892059586075,18,2.13255831228644,486,Heart
Kidney,0.826971311600732,9,1.7869658585167,36,Kidney
Liver,1.4928024001413,13,2.1271555224978,141,Liver
Lung,6.90134689352264,25,4.0122680351857,374,Lung
Muscle,0.77925006539684,9,1.67445319335083,469,Muscle
Nerve,0.089601526706651,3,0.907836068684186,331,Nerve
Ovary,0.0243376971523533,2,0.552017536269505,110,Ovary
Pancreas,0.0528870370472383,3,0.753503937007874,199,Pancreas
Pituitary,0.320004206091508,7,1.20423003631395,126,Pituitary
Prostate,0.0528870370472383,2,0.761115087886741,121,Prostate
Salivary Gland,1.52691703486278,10,2.49918387067288,71,Salivary Gland
Skin,1.14707625056394,14,1.80789290798804,659,Skin
Small Intestine,2.4990377766842,13,3.09496087870533,103,Small Intestine
Spleen,3.04377776390936,24,2.43065786131572,118,Spleen
Stomach,0.0528870370472383,2,0.683450283000339,206,Stomach
Testis,0.0,5,0.340797800546302,203,Testis
Thyroid,1.61360301524724,9,2.80808920624052,360,Thyroid
Uterus,0.622931059091742,2,3.04446035154697,93,Uterus
Vagina,0.921761889597699,5,2.51167979002625,95,Vagina
