Unnamed: 0,Log10PValue,Tissue.Specific.Genes,fold.change,samples,Tissue
Adipose Tissue,0.891038708693086,6,2.28602711365039,610,Adipose Tissue
Adrenal Gland,0.55965823065428,8,1.52801812320988,159,Adrenal Gland
Artery,0.55965823065428,7,1.56739397484645,747,Artery
Bladder,0.0,0,0.0,13,Bladder
Brain,0.55965823065428,18,1.3007880199818,1401,Brain
Breast,0.578043071270222,9,1.55569303577396,215,Breast
Cervix Uteri,0.665534033343264,6,1.94924633351439,11,Cervix Uteri
Colon,1.54184391127485,6,4.00579063034151,377,Colon
Esophagus,0.253234567942064,5,1.23342140877747,790,Esophagus
Fallopian Tube,0.253234567942064,3,1.34762709477538,7,Fallopian Tube
Heart,1.92504411781816,15,2.57447628954731,486,Heart
Kidney,1.11022835174749,8,2.30108658080224,36,Kidney
Liver,1.4298201318777,10,2.37041899406745,141,Liver
Lung,3.05403285916756,15,3.48746947849221,374,Lung
Muscle,1.01154751102667,8,2.15620335164061,469,Muscle
Nerve,0.0744734309616976,2,0.876769435155069,331,Nerve
Ovary,0.19902770611087,3,1.19953620523963,110,Ovary
Pancreas,0.0348866790878045,2,0.727718631178707,199,Pancreas
Pituitary,0.61440447536362,7,1.74453096515443,126,Pituitary
Prostate,0.0,0,0.0,121,Prostate
Salivary Gland,1.47372841743756,8,2.8963925619053,71,Salivary Gland
Skin,0.333343865016323,7,1.30951938772518,659,Skin
Small Intestine,1.59271771905871,9,3.10401311877174,103,Small Intestine
Spleen,1.42986740128709,14,2.05404452348829,118,Spleen
Stomach,0.100196568341124,2,0.990093375753343,206,Stomach
Testis,0.0,5,0.493703277597495,203,Testis
Thyroid,1.47372841743756,7,3.16399404860308,360,Thyroid
Uterus,0.0,0,0.0,93,Uterus
Vagina,0.0,0,0.0,95,Vagina
