Unnamed: 0,Log10PValue,Tissue.Specific.Genes,fold.change,samples,Tissue
Adipose Tissue,1.88239769472258,11,2.8481810679546,610,Adipose Tissue
Adrenal Gland,0.111581503856348,8,1.03842058502377,159,Adrenal Gland
Artery,0.111581503856348,7,1.06517988471477,747,Artery
Bladder,0.111581503856348,1,1.76624215577704,13,Bladder
Brain,0.111581503856348,19,0.933109063429379,1401,Brain
Breast,0.0029804482458979,4,0.469879148330234,215,Breast
Cervix Uteri,0.111581503856348,4,0.88312107788852,11,Cervix Uteri
Colon,2.44599472336131,9,4.08342223170472,377,Colon
Esophagus,0.908541885056781,11,1.84407655586213,790,Esophagus
Fallopian Tube,0.111581503856348,3,0.915829265958465,7,Fallopian Tube
Heart,0.111581503856348,9,1.04974769635805,486,Heart
Kidney,0.718495128873288,9,1.75926096148543,36,Kidney
Liver,1.62613313779444,14,2.25526685688795,141,Liver
Lung,9.54756502170893,29,4.58207230188804,374,Lung
Muscle,0.111581503856348,5,0.915829265958465,469,Muscle
Nerve,0.111581503856348,3,0.893761090875128,331,Nerve
Ovary,0.111581503856348,4,1.08691824970895,110,Ovary
Pancreas,0.0029804482458979,2,0.494547803617571,199,Pancreas
Pituitary,0.111581503856348,7,1.18555980319281,126,Pituitary
Prostate,0.0029804482458979,1,0.374657426983008,121,Prostate
Salivary Gland,1.41457412550853,10,2.46043683391826,71,Salivary Gland
Skin,1.0001151974196,14,1.77986356057738,659,Skin
Small Intestine,1.34202039115335,10,2.34382845316384,103,Small Intestine
Spleen,8.6646797003794,35,3.48975264649496,118,Spleen
Stomach,0.111581503856348,3,1.00928123187259,206,Stomach
Testis,0.0029804482458979,7,0.469719759202578,203,Testis
Thyroid,0.294825382660095,5,1.53586274415395,360,Thyroid
Uterus,0.460775703190316,2,2.99725941586407,93,Uterus
Vagina,0.818867443569341,5,2.47273901808786,95,Vagina
