Unnamed: 0,Log10PValue,Tissue.Specific.Genes,fold.change,samples,Tissue
Adipose Tissue,1.33947742299817,6,3.64378867206092,610,Adipose Tissue
Adrenal Gland,0.121425244026671,4,1.21778414061879,159,Adrenal Gland
Artery,0.195344309231389,4,1.42761771561772,747,Artery
Bladder,0.0,0,0.0,13,Bladder
Brain,0.249866864815485,11,1.26706388613042,1401,Brain
Breast,0.0,2,0.551040092132729,215,Breast
Cervix Uteri,0.0292553691763341,2,1.03566017316017,11,Cervix Uteri
Colon,1.60880050947723,5,5.32082290797887,377,Colon
Esophagus,0.0,2,0.786399589111454,790,Esophagus
Fallopian Tube,0.0,1,0.716011971567527,7,Fallopian Tube
Heart,0.0,1,0.273570611778159,486,Heart
Kidney,0.294130017905339,4,1.83389627500299,36,Kidney
Liver,1.07714937862991,7,2.64481295035041,141,Liver
Lung,2.59043863640346,11,4.07646432374867,374,Lung
Muscle,0.0,1,0.429607182940516,469,Muscle
Nerve,0.0,1,0.698758671047828,331,Nerve
Ovary,0.261663423762393,3,1.91198801198801,110,Ovary
Pancreas,0.0,1,0.579969696969697,199,Pancreas
Pituitary,0.249866864815485,4,1.58895807388958,126,Pituitary
Prostate,0.0,0,0.0,121,Prostate
Salivary Gland,0.399124916238002,4,2.30833710236695,71,Salivary Gland
Skin,0.359084304181312,6,1.78910960504791,659,Skin
Small Intestine,1.2341356381719,6,3.2984058595433,103,Small Intestine
Spleen,1.73702077647121,12,2.80630498533724,118,Spleen
Stomach,0.154600269962587,2,1.57814883529169,206,Stomach
Testis,0.0,1,0.157386620615929,203,Testis
Thyroid,0.294130017905339,3,2.1613777526821,360,Thyroid
Uterus,0.0,0,0.0,93,Uterus
Vagina,0.0292553691763341,1,1.15993939393939,95,Vagina
