Unnamed: 0,Log10PValue,Tissue.Specific.Genes,fold.change,samples,Tissue
Adipose Tissue,1.54211039716629,10,2.31418449149366,610,Adipose Tissue
Adrenal Gland,0.150390234654132,8,0.928103386614779,159,Adrenal Gland
Artery,0.658574219237531,11,1.49603126665482,747,Artery
Bladder,0.649112511121857,2,3.15720884196635,13,Bladder
Brain,0.546104088462566,27,1.18512903899035,1401,Brain
Breast,0.34746592887855,11,1.15489349563615,215,Breast
Cervix Uteri,1.5256383811876,11,2.17058107885186,11,Cervix Uteri
Colon,1.96763120587418,8,3.24410449816726,377,Colon
Esophagus,2.98041719092571,18,2.69700551923905,790,Esophagus
Fallopian Tube,0.595518331562406,6,1.63707125138996,7,Fallopian Tube
Heart,1.16987317711235,16,1.66795938820864,486,Heart
Kidney,1.82050216303496,13,2.27119371240267,36,Kidney
Liver,3.61835757256909,20,2.87953900895954,141,Liver
Lung,11.2205000117721,33,4.66016129389282,374,Lung
Muscle,0.770677860989788,10,1.63707125138996,469,Muscle
Nerve,0.595518331562406,6,1.59762375135647,331,Nerve
Ovary,0.321808683102936,5,1.21431109306398,110,Ovary
Pancreas,0.0008898504897516,1,0.221004618937644,199,Pancreas
Pituitary,0.34746592887855,8,1.21098421335696,126,Pituitary
Prostate,0.0008898504897516,1,0.334855483238855,121,Prostate
Salivary Gland,2.47808009554769,13,2.85876621511381,71,Salivary Gland
Skin,1.69188450768457,17,1.93165990845242,659,Skin
Small Intestine,2.71137404050105,14,2.93276271576021,103,Small Intestine
Spleen,5.76930839185025,32,2.85167250242122,118,Spleen
Stomach,0.305709940742483,4,1.20274622551099,206,Stomach
Testis,0.0008898504897516,7,0.419818814806923,203,Testis
Thyroid,2.33351183688221,11,3.01993889231564,360,Thyroid
Uterus,0.595518331562406,2,2.67884386591084,93,Uterus
Vagina,2.15038258088908,8,3.53607390300231,95,Vagina
