Unnamed: 0,Log10PValue,Tissue.Specific.Genes,fold.change,samples,Tissue
Adipose Tissue,0.555415235591943,2,6.91063368839141,610,Adipose Tissue
Adrenal Gland,0.0,0,0.0,159,Adrenal Gland
Artery,0.058619581336548,1,2.03066312997347,747,Artery
Bladder,0.0,0,0.0,13,Bladder
Brain,0.0,1,0.655377872136424,1401,Brain
Breast,0.0,0,0.0,215,Breast
Cervix Uteri,0.0,0,0.0,11,Cervix Uteri
Colon,0.0,0,0.0,377,Colon
Esophagus,0.058619581336548,1,2.23717124488603,790,Esophagus
Fallopian Tube,0.0,0,0.0,7,Fallopian Tube
Heart,0.0,0,0.0,486,Heart
Kidney,1.80039369052015,4,10.4342374267412,36,Kidney
Liver,0.058619581336548,1,2.14972481186117,141,Liver
Lung,0.775741882306994,3,6.32554808857552,374,Lung
Muscle,0.058619581336548,1,2.44431673052363,469,Muscle
Nerve,0.058619581336548,1,3.97569588699626,331,Nerve
Ovary,0.0,0,0.0,110,Ovary
Pancreas,0.0,0,0.0,199,Pancreas
Pituitary,0.058619581336548,1,2.26015588096363,126,Pituitary
Prostate,0.0,0,0.0,121,Prostate
Salivary Gland,0.058619581336548,1,3.2834105335392,71,Salivary Gland
Skin,0.0,0,0.0,659,Skin
Small Intestine,0.0,0,0.0,103,Small Intestine
Spleen,0.555415235591943,3,3.99172691879867,118,Spleen
Stomach,0.058619581336548,1,4.48956134177809,206,Stomach
Testis,0.0,0,0.0,203,Testis
Thyroid,0.058619581336548,1,4.0991647033626,360,Thyroid
Uterus,0.0,0,0.0,93,Uterus
Vagina,0.0,0,0.0,95,Vagina
